Critical Elements,
Critical Element 1 - Statewide system of standards and assessments,
1.1 State adoption of academic content standards for all students,"The State formally adopted challenging academic content standards for all students in reading/language arts, mathematics and science and applies its academic content standards to all public elementary and secondary schools and students in the State. "
1.2 Coherent and rigorous academic content standards,"The State’s academic content standards in reading/language arts, mathematics and science specify what students are expected to know and be able to do by the time they graduate from high school to succeed in college and the workforce; contain content that is coherent (e.g., within and across grades) and rigorous; encourage the teaching of advanced skills; and were developed with broad stakeholder involvement. "
1.3 Required Assessments,"The State’s assessment system includes annual general and alternate assessments (based on grade-level academic achievement standards or alternate academic achievement standards) in: Reading/language arts and mathematics in each of grades 3-8 and at least once in high school (grades 10-12); Science at least once in each of three grade spans (3-5, 6-9 and 10-12). "
1.4 Policies for including all students in assessments,The State requires the inclusion of all public elementary and secondary school students in its assessment system and clearly and consistently communicates this requirement to districts and schools. 
,"For students with disabilities, policies state that all students with disabilities in the State, including students with disabilities publicly placed in private schools as a means of providing special education and related services, must be included in the assessment system; "
,For English Learners:
,"A) Policies state that all English learners must be included in the assessment system, unless the State exempts a student who has attended schools in the U.S. for less than 12 months from one administration of its reading/ language arts assessment; "
,"B)   If the State administers native language assessments, the State requires English learners to be assessed in reading/language arts in English if they have been enrolled in U.S. schools for three or more consecutive years, except if a district determines, on a case-by-case basis, that native language assessments would yield more accurate and reliable information, the district may assess a student with native language assessments for a period not to exceed two additional consecutive years. "
1.5 Participation Data,"The State’s participation data show that all students, disaggregated by student group and assessment type, are included in the State’s assessment system. In addition, if the State administers end-of-course assessments for high school students, the State has procedures in place for ensuring that each student is tested and counted in the calculation of participation rates on each required assessment and provides the corresponding data. "
,
Critical Element 2 - Assessment system operations,
2.1 Test Design and Development,"The State’s test design and test development process is well-suited for the content, is technically sound, aligns the assessments to the full range of the State’s academic content standards, and includes: "
,A)   Statement(s) of the purposes of the assessments and the intended interpretations and uses of results; 
,"B)   Test blueprints that describe the structure of each assessment in sufficient detail to support the development of assessments that are technically sound, measure the full range of the State’s grade-level academic content standards, and support the intended interpretations and uses of the results; "
,"C)    Processes to ensure that each assessment is tailored to the knowledge and skills included in the State’s academic content standards, reflects appropriate inclusion of challenging content, and requires complex demonstrations or applications of knowledge and skills (i.e., higher-order thinking skills); "
,"D)   If the State administers computer-adaptive assessments, the item pool and item selection procedures adequately support the test design. "
2.2 Item Development,"The State uses reasonable and technically sound procedures to develop and select items to assess student achievement based on the State’s academic content standards in terms of content and cognitive process, including higher-order thinking skills. "
2.3 Test Administration,"The State implements policies and procedures for standardized test administration, specifically the State: "
,"A)   Has established and communicates to educators clear, thorough and consistent standardized procedures for the administration of its assessments, including administration with accommodations; "
,B)   Has established procedures to ensure that all individuals responsible for administering the State’s general and alternate assessments receive training on the State’s established procedures for the administration of its assessments; 
,"C)    If the State administers technology-based assessments, the State has defined technology and other related requirements, included technology-based test administration in its standardized procedures for test administration, and established contingency plans to address possible technology challenges during test administration. "
2.4 Monitoring test administration,The State adequately monitors the administration of its State assessments to ensure that standardized test administration procedures are implemented with fidelity across districts and schools.
2.5 Test Security,The State has implemented and documented an appropriate set of policies and procedures to prevent test irregularities and ensure the integrity of test results through: 
,"A)   Prevention of any assessment irregularities, including maintaining the security of test materials, proper test preparation guidelines and administration procedures, incident-reporting procedures, consequences for confirmed violations of test security, and requirements for annual training at the district and school levels for all individuals involved in test administration; "
,B)   Detection of test irregularities; 
,C)    Remediation following any test security incidents involving any of the State’s assessments; 
,D)   Investigation of alleged or factual test irregularities. 
2.6 Systems for protecting data integrity and privacy,"The State has policies and procedures in place to protect the integrity and confidentiality of its test materials, test-related data, and personally identifiable information, specifically: "
,"A)   To protect the integrity of its test materials and related data in test development, administration, and storage and use of results; "
,"B)   To secure student-level assessment data and protect student privacy and confidentiality, including guidelines for districts and schools; "
,"C)    To protect personally identifiable information about any individual student in reporting, including defining the minimum number of students necessary to allow reporting of scores for all students and student groups. "
,
Critical Element 3 - Technical quality - validity,
"3.1 Overall validity, including validity based on content","The State has documented adequate overall validity evidence for its assessments, and the State’s validity evidence includes evidence that the State’s assessments measure the knowledge and skills specified in the State’s academic content standards, including: "
,"A)   Documentation of adequate alignment between the State’s assessments and the academic content standards the assessments are designed to measure in terms of content (i.e., knowledge and process), the full range of the State’s academic content standards, balance of content, and cognitive complexity; "
,"B)   If the State administers alternate assessments based on alternate academic achievement standards, the assessments show adequate linkage to the State’s academic content standards in terms of content match (i.e., no unrelated content) and the breadth of content and cognitive complexity determined in test design to be appropriate for students with the most significant cognitive disabilities. "
3.2 Validity based on cognitive processes,The State has documented adequate validity evidence that its assessments tap the intended cognitive processes appropriate for each grade level as represented in the State’s academic content standards. 
3.3 Validity based on internal structure,The State has documented adequate validity evidence that the scoring and reporting structures of its assessments are consistent with the sub-domain structures of the State’s academic content standards on which the intended interpretations and uses of results are based. 
3.4 Validity based on relations to other variables,The State has documented adequate validity evidence that the State’s assessment scores are related as expected with other variables. 
,
Critical Element 4 - Technical quality - other,
4.1 Reliability,"The State has documented adequate reliability evidence for its assessments for the following measures of reliability for the State's student population overall and each student group and, if the State's assessments are implemented in multiple States, for the assessment overall and each student group, including:"
,A)   Test reliability of the State's assessments estimated for its student population;
,B)   Overall and conditional standard error of measurement of the State's assessments;
,C)    Consistency and accuracy of estimates in categorical classification decisions for the cut scores and achievement levels based on the assessment results;
,"For computer-adaptive tests, evidence that the assessments produce test forms with adequately precise estimates of a student's achievement."
4.2 Fairness and accessibility,"The State has taken reasonable and appropriate steps to ensure that its assessments are accessible to all students and fair across student groups in the design, development and analysis of its assessments. "
4.3 Full performance continuum,"The State has ensured that each assessment provides an adequately precise estimate of student performance across the full performance continuum, including for high- and low-achieving students. "
