grade_for_match,content,item,delta,grades
5,ELA,E05LA2H12,0.09743118577728116,A
5,ELA,E05LA2L01,0.35437986894579654,A
5,ELA,E05LA4H10,0.5147384036296694,A
5,ELA,E05LA5M08,1.3048319302303326,B
5,ELA,E05LA5MSAMPLE,0.628710909465689,A
5,ELA,E05RF3H10,-0.22877604962372391,A
5,ELA,E05RF3L01,0.4915242103718117,A
5,ELA,E05RF3M05,0.9766274437870418,A
5,ELA,E05RF4H10,-0.379918705262225,A
5,ELA,E05RF4M07,-0.5205743597999326,A
5,ELA,E05RI1H11,0.07905435494866958,A
5,ELA,E05RI1H12,-0.507331747354103,A
5,ELA,E05RI1M05,0.4650549097345911,A
5,ELA,E05RI1M06,0.8685945017296922,A
5,ELA,E05RI2H12,0.28770841573512396,A
5,ELA,E05RI2HSAMPLE,-0.06809957252853178,A
5,ELA,E05RI2M07,-0.5499624972664141,A
5,ELA,E05RI6H10,0.4594701613260395,A
5,ELA,E05RI6M05,0.368602134635948,A
5,ELA,E05RI8H12,-0.18874277312353696,A
5,ELA,E05RI9H11,-0.3878873406372646,A
5,ELA,E05RI9H12,0.6829844789710307,A
5,ELA,E05RL1H09,-0.9353818041466729,A
5,ELA,E05RL1H10,0.22105257903910439,A
5,ELA,E05RL1M06,0.46440672188529547,A
5,ELA,E05RL2H12,-0.4305550651541205,A
5,ELA,E05RL2M05,1.4793940715567515,B
5,ELA,E05RL3H12,-1.1006623405056675,B
5,ELA,E05RL6H09,-0.2840135278934661,A
5,ELA,E05RL6H10,-0.3551028626492202,A
5,ELA,E05RL6H12,1.4788302078869817,B
5,ELA,E05RL7L01,-0.5415655565891073,A
5,ELA,E05RL7L02,-1.0247364038208655,B
5,ELA,E05WR2H12,-0.6524965936554956,A
5,ELA,E05WR2L01,0.9354260226134333,A
5,ELA,E05WR3H11,-0.14217479770454017,A
5,ELA,E05WR4H09,-0.07521020633602082,A
5,ELA,E05WR4H11,-0.45133696446627086,A
5,ELA,E05WR4H12,-0.48459068683564294,A
5,ELA,E05WR4L01,-0.2341589246784485,A
5,ELA,E05WR4L04,0.6666451922667559,A
5,ELA,E05WR4M05,0.1588615198357512,A
5,ELA,E05WR4M06,0.3008286547792148,A
5,ELA,E05WR4M08,-0.1635811663294555,A
5,ELA,E05WR5HSAMPLE,0.9122742622147405,A
5,ELA,E05WR5M07,0.4267542145813879,A
5,ELA,E05WR9H12,-0.028849738373617217,A
5,ELA,E05WR9M05,-0.8507289878012718,A
5,Math,M05GEO1.2_L01,0.012733876950855021,A
5,Math,M05GEO1.2_M08,0.210315030322745,A
5,Math,M05GEO2.4_H09,-0.6197165143924597,A
5,Math,M05GEO2.4_H12,-0.3094577300421149,A
5,Math,M05GEO2.4_L03,-0.29879043291901397,A
5,Math,M05MED1.1_H09,-0.8990418937813268,A
5,Math,M05MED1.1_M08,0.04587666248962191,A
5,Math,M05MED2.2_L01,0.01571554846016039,A
5,Math,M05MED2.2_L04,0.6307937446598104,A
5,Math,M05MED2.2_M05,-0.13746059926262472,A
5,Math,M05MED3.4_H09,0.025512750109017265,A
5,Math,M05MED3.4_H10,0.8748401924732477,A
5,Math,M05MED3.4_M05,-0.2409560102661305,A
5,Math,M05MED3.5BH12,-0.038786615415481035,A
5,Math,M05NBT1.1_H10,-0.8873226306823234,A
5,Math,M05NBT1.2_L03,0.573356773942826,A
5,Math,M05NBT1.2_M06,0.30847446954787405,A
5,Math,M05NBT1.3AH10,-0.3468883176935075,A
5,Math,M05NBT1.3AL04,-0.555926677102684,A
5,Math,M05NBT1.3BH09,-0.2510456991724069,A
5,Math,M05NBT1.3BM05,-0.1423405643418616,A
5,Math,M05NBT1.4_H09,-0.7630644857743677,A
5,Math,M05NBT1.4_H10,-0.0950962115005676,A
5,Math,M05NBT1.4_H11,0.4195140516897,A
5,Math,M05NBT2.5_H09,-0.06162943313296993,A
5,Math,M05NBT2.5_L01,-0.035656346624504676,A
5,Math,M05NBT2.5_L02,-0.48746111608161913,A
5,Math,M05NBT2.5_M07,-0.03635056389094792,A
5,Math,M05NBT2.6_H11,0.6907940767014974,A
5,Math,M05NBT2.6_M05,0.4192874861063421,A
5,Math,M05NOF1.1_H11,-0.34047319461470626,A
5,Math,M05NOF1.1_H12,0.224650985600156,A
5,Math,M05NOF1.1_L01,0.09339552225370497,A
5,Math,M05NOF1.2_H10,-0.3345949469851466,A
5,Math,M05NOF1.2_L01,0.20557586519031304,A
5,Math,M05NOF1.2_L03,0.7756264348136214,A
5,Math,M05NOF2.4AM08,0.349587659220973,A
5,Math,M05NOF2.4BM07,0.557137026781369,A
5,Math,M05NOF2.4BM08,-0.7843596967174786,A
5,Math,M05NOF2.5BM06,-0.48826352631469633,A
5,Math,M05NOF2.5BM07,0.04325128544005229,A
5,Math,M05OAT1.1_L03,-0.42811486718185154,A
5,Math,M05OAT1.1_M07,-0.22798569624956222,A
5,Math,M05OAT1.2_H11,-1.1637822758127676,B
5,Math,M05OAT2.3_L01,1.121868895620276,B
5,Math,M05OAT2.3_M05,0.8334411615068761,A
5,Math,M05OAT2.3_M06,0.36069022254683786,A
5,Math,M05OAT2.3_M07,1.901541034313981,C
5,Science,S05ESS1.1H31,-0.17547613522389854,A
5,Science,S05ESS1.1H8,-0.005243676296161838,A
5,Science,S05ESS1.1M12,-0.2502844879623991,A
5,Science,S05ESS1.2H23,-0.5171712857484712,A
5,Science,S05ESS1.2H8,-0.23844743410692115,A
5,Science,S05ESS1.2M19,0.1947676895128082,A
5,Science,S05ESS2.1H23,0.9006371164590966,A
5,Science,S05ESS2.1H24,0.6935297926977536,A
5,Science,S05ESS2.1M5,0.37391814851659777,A
5,Science,S05ESS2.1MSAMPLE,-0.3298670375147799,A
5,Science,S05ESS3.1H14,-0.7978802910844416,A
5,Science,S05ESS3.1H24,0.1680609982034795,A
5,Science,S05ESS3.1LSAMPLE,1.284746000912207,B
5,Science,S05ESS3.1M28,-0.20787927607036544,A
5,Science,S05ESS3.1M4,0.1340865536299071,A
5,Science,S05ETS1.1H16,-1.7317872293328427,C
5,Science,S05ETS1.1H31,-0.7630972952064425,A
5,Science,S05ETS1.2H23,-0.09989593838279591,A
5,Science,S05ETS1.2H24,-0.4845041955489083,A
5,Science,S05ETS1.2H31,0.6356456374005348,A
5,Science,S05ETS1.2L1,-0.894596417172639,A
5,Science,S05ETS1.2M12,0.45998041616032587,A
5,Science,S05LFS1.1H16,0.7956978286984723,A
5,Science,S05LFS1.1H32,0.10063624142410012,A
5,Science,S05LFS1.1H8,0.4976607685053724,A
5,Science,S05LFS1.1M11,0.37117245784619596,A
5,Science,S05LFS1.1M20,-1.4876590090119135,B
