grade_for_match,content,item,delta,grades
11,ELA,E11LA1H09,1.0144067090493056,B
11,ELA,E11LA1H10,-0.7864065725102721,A
11,ELA,E11LA1H12,1.3200951498081146,B
11,ELA,E11LA2H09,-1.0625805133713113,B
11,ELA,E11RI1H11,-0.15070228355481424,A
11,ELA,E11RI1L02,-0.7108693110777197,A
11,ELA,E11RI1M06,0.5826239013954857,A
11,ELA,E11RI1MSAMPLE,-0.7522697092573054,A
11,ELA,E11RI2H12,-0.5778393172313314,A
11,ELA,E11RI2M08,0.33953156342361024,A
11,ELA,E11RI3H12,1.41156687174914,B
11,ELA,E11RI3M07,0.6529547378673675,A
11,ELA,E11RI4H10,1.4301524513818158,B
11,ELA,E11RI4M06,0.678909671321313,A
11,ELA,E11RI5H10,-0.2908052412712145,A
11,ELA,E11RI5H12,-0.8147770241046655,A
11,ELA,E11RI9H12,-0.2643841633255261,A
11,ELA,E11RL1H09,-1.8370669066840686,C
11,ELA,E11RL1H10,-0.09360483921078397,A
11,ELA,E11RL1L01,-0.11999508023722544,A
11,ELA,E11RL1M08,0.42439242415723566,A
11,ELA,E11RL3H09,-0.1327655803107499,A
11,ELA,E11RL3H10,-0.8255623970666366,A
11,ELA,E11RL3H12,0.5522882369065921,A
11,ELA,E11RL3HSAMPLE,-0.3579864662632393,A
11,ELA,E11RL4H09,-0.6810901638453495,A
11,ELA,E11RL6H10,1.1947386249322647,B
11,ELA,E11RL6H11,-0.17036741271432249,A
11,ELA,E11RL6H12,1.1075999239179022,B
11,ELA,E11RL6M08,0.9609476375942658,A
11,ELA,E11RL9M06,-0.5263487356011762,A
11,ELA,E11WR1H12,-0.5014646696597338,A
11,ELA,E11WR2L03,-0.9089091251792644,A
11,ELA,E11WR4H09,0.08721741933574116,A
11,ELA,E11WR4H11,-1.0988511199674593,B
11,ELA,E11WR4H12,0.6470845036901672,A
11,ELA,E11WR4H13,0.7611383610896006,A
11,ELA,E11WR4HSAMPLE,-0.798401301789035,A
11,ELA,E11WR4L01,-0.31018653386764766,A
11,ELA,E11WR4L02,-1.1525033365304167,B
