grade_for_match,content,item,delta,grades
5,ELA,E05LA2H12,0.465148640257275,A
5,ELA,E05LA2L01,0.2257144869788301,A
5,ELA,E05LA4H10,0.1518207287914359,A
5,ELA,E05LA5M08,0.2160098874526004,A
5,ELA,E05LA5MSAMPLE,-0.5352186512919743,A
5,ELA,E05RF3H10,0.8573885838021538,A
5,ELA,E05RF3L01,0.17506539864877238,A
5,ELA,E05RF3M05,-0.48795215572928896,A
5,ELA,E05RF4H10,0.865497604500471,A
5,ELA,E05RF4M07,0.4451779604889627,A
5,ELA,E05RI1H11,-1.1300101663318827,B
5,ELA,E05RI1H12,0.028350445381018403,A
5,ELA,E05RI1M05,-0.1375644683029255,A
5,ELA,E05RI1M06,-0.28653480937429476,A
5,ELA,E05RI2H12,-0.32608935689795054,A
5,ELA,E05RI2HSAMPLE,0.19770796770043364,A
5,ELA,E05RI2M07,-0.2967757510739254,A
5,ELA,E05RI6H10,-0.21249060705779804,A
5,ELA,E05RI6M05,0.7354818187331136,A
5,ELA,E05RI8H12,0.2505011294936076,A
5,ELA,E05RI9H11,0.22280418353756298,A
5,ELA,E05RI9H12,0.5962567589682545,A
5,ELA,E05RL1H09,-0.041393540658938945,A
5,ELA,E05RL1H10,-0.6421721918001798,A
5,ELA,E05RL1M06,0.6348714169624904,A
5,ELA,E05RL2H12,-1.0859561567425013,B
5,ELA,E05RL2M05,0.25611118883533457,A
5,ELA,E05RL3H12,0.46530189844038233,A
5,ELA,E05RL6H09,-0.0292168521184951,A
5,ELA,E05RL6H10,0.08965386675192022,A
5,ELA,E05RL6H12,0.09244373930716053,A
5,ELA,E05RL7L01,0.6682475659175326,A
5,ELA,E05RL7L02,1.1533620975966374,B
5,ELA,E05WR2H12,0.24184331960610975,A
5,ELA,E05WR2L01,0.2326213157174742,A
5,ELA,E05WR3H11,1.4832215696395872,B
5,ELA,E05WR4H09,-0.39198227561668914,A
5,ELA,E05WR4H11,-1.2014316993557583,B
5,ELA,E05WR4H12,-0.03393585324012557,A
5,ELA,E05WR4L01,-0.4075968220046613,A
5,ELA,E05WR4L04,-0.2669566260302607,A
5,ELA,E05WR4M05,-1.1424912579353732,B
5,ELA,E05WR4M06,-1.085915965063174,B
5,ELA,E05WR4M08,-1.1465805274275747,B
5,ELA,E05WR5HSAMPLE,-0.15560357302274772,A
5,ELA,E05WR5M07,0.9605808883033004,A
5,ELA,E05WR9H12,0.03638251476616309,A
5,ELA,E05WR9M05,-0.07017149935343053,A
5,Math,M05GEO1.2_L01,0.3981434873813919,A
5,Math,M05GEO1.2_M08,-1.0340517458269018,B
5,Math,M05GEO2.4_H09,-0.5670559373429228,A
5,Math,M05GEO2.4_H12,0.22047552322989697,A
5,Math,M05GEO2.4_L03,-1.529364855278946,C
5,Math,M05MED1.1_H09,-0.21229852642308802,A
5,Math,M05MED1.1_M08,-0.4349988809601159,A
5,Math,M05MED2.2_L01,0.5217135114661056,A
5,Math,M05MED2.2_L04,-0.14444191697652217,A
5,Math,M05MED2.2_M05,-0.17456374164149369,A
5,Math,M05MED3.4_H09,-0.748951776454332,A
5,Math,M05MED3.4_H10,0.4842588655040472,A
5,Math,M05MED3.4_M05,-0.7053762049692821,A
5,Math,M05MED3.5BH12,0.042519564825337565,A
5,Math,M05NBT1.1_H10,0.40497543287026583,A
5,Math,M05NBT1.2_L03,0.7706563182905702,A
5,Math,M05NBT1.2_M06,-0.3675333407640248,A
5,Math,M05NBT1.3AH10,-0.217813067747852,A
5,Math,M05NBT1.3AL04,-0.18575756082686348,A
5,Math,M05NBT1.3BH09,0.4089034234911636,A
5,Math,M05NBT1.3BM05,0.6424330473081368,A
5,Math,M05NBT1.4_H09,-0.4778819010360226,A
5,Math,M05NBT1.4_H10,0.34362376242009673,A
5,Math,M05NBT1.4_H11,0.13780403456228044,A
5,Math,M05NBT2.5_H09,0.24181274459616414,A
5,Math,M05NBT2.5_L01,0.6059233967247301,A
5,Math,M05NBT2.5_L02,-0.21576368779739913,A
5,Math,M05NBT2.5_M07,0.25623671139287624,A
5,Math,M05NBT2.6_H11,-0.12496006510316894,A
5,Math,M05NBT2.6_M05,0.028866374652373572,A
5,Math,M05NOF1.1_H11,-0.09908226308649543,A
5,Math,M05NOF1.1_H12,-0.2819467098818585,A
5,Math,M05NOF1.1_L01,0.6496904868263746,A
5,Math,M05NOF1.2_H10,-0.03783086721123202,A
5,Math,M05NOF1.2_L01,0.48451004560959277,A
5,Math,M05NOF1.2_L03,-0.7016412689320513,A
5,Math,M05NOF2.4AM08,-0.24572466421738895,A
5,Math,M05NOF2.4BM07,0.36720673802933074,A
5,Math,M05NOF2.4BM08,0.3846105107954914,A
5,Math,M05NOF2.5BM06,0.09740621582754433,A
5,Math,M05NOF2.5BM07,0.19565399039934744,A
5,Math,M05OAT1.1_L03,-0.11273300471192754,A
5,Math,M05OAT1.1_M07,0.26778249953647165,A
5,Math,M05OAT1.2_H11,-0.4161936775875037,A
5,Math,M05OAT2.3_L01,-0.06490223254459586,A
5,Math,M05OAT2.3_M05,0.05695912288851621,A
5,Math,M05OAT2.3_M06,-0.4953357077694607,A
5,Math,M05OAT2.3_M07,-1.1977330139159053,B
5,Science,S05ESS1.1H31,0.09401156520035779,A
5,Science,S05ESS1.1H8,0.2655686722420487,A
5,Science,S05ESS1.1M12,0.26322029294427834,A
5,Science,S05ESS1.2H23,1.0237501322652505,B
5,Science,S05ESS1.2H8,0.7308291195507529,A
5,Science,S05ESS1.2M19,-0.8544632478225709,A
5,Science,S05ESS2.1H23,-0.18319418952454872,A
5,Science,S05ESS2.1H24,-0.19540923112722655,A
5,Science,S05ESS2.1M5,0.5255932816582058,A
5,Science,S05ESS2.1MSAMPLE,-0.5270174006004882,A
5,Science,S05ESS3.1H14,0.903657276265306,A
5,Science,S05ESS3.1H24,0.46429493268303684,A
5,Science,S05ESS3.1LSAMPLE,0.7203186758242209,A
5,Science,S05ESS3.1M28,0.1708864351529871,A
5,Science,S05ESS3.1M4,-0.41092873615098324,A
5,Science,S05ETS1.1H16,-0.6556208556450946,A
5,Science,S05ETS1.1H31,0.8993931328251287,A
5,Science,S05ETS1.2H23,-0.5985424061526602,A
5,Science,S05ETS1.2H24,-0.2713333348756422,A
5,Science,S05ETS1.2H31,0.8248512308599761,A
5,Science,S05ETS1.2L1,-0.5574720818976757,A
5,Science,S05ETS1.2M12,-1.4081931774986272,B
5,Science,S05LFS1.1H16,-0.016803077489414144,A
5,Science,S05LFS1.1H32,1.2187457218139537,B
5,Science,S05LFS1.1H8,-0.10696529503946056,A
5,Science,S05LFS1.1M11,-0.3697096516154396,A
5,Science,S05LFS1.1M20,0.29560707768611,A
5,Science,S05LFS2.1H15,-0.5031445278481739,A
5,Science,S05LFS2.1H23,0.368920904626972,A
5,Science,S05LFS2.1L25,0.45807030990176334,A
5,Science,S05LFS2.1M12,-0.5798315314113862,A
5,Science,S05LFS2.1M30,-0.8046544728151886,A
5,Science,S05LFS2.1M5,1.3468577434653217,B
5,Science,S05PHS1.1H24,-0.8588991192936605,A
5,Science,S05PHS1.1M22,0.5009255566536979,A
5,Science,S05PHS1.2H15,-0.24399218612585316,A
5,Science,S05PHS1.3H16,0.07011004645675405,A
5,Science,S05PHS1.3H23,0.7068405085986518,A
5,Science,S05PHS1.3H24,0.2003431142318272,A
