Entry,Difficulty,Status,Count,RawScore,SE,Infit,Infit_Z,Outfit,Outfit_Z,Displacement,PointMeasureCorr,Weight,ObservMatch,ExpectMatch,PointMeasureExpected,RMSR,WMLE,Group,Model,Recoding,ItemID
1,-2.73,2,647,585,0.2,0.8,-1.49,0.5,-1.54,-0.31,0.67,1,95.2,94.8,0.65,0.18,-2.72,1, R, .,E03RF3L02
2,-2.44,2,647,577,0.19,1.06,0.48,0.64,-1.05,-0.25,0.63,1,92.6,93.9,0.65,0.22,-2.43,1, R, .,E03RF4L01
3,-1.69,2,647,556,0.15,0.95,-0.46,0.71,-1.03,-0.3,0.64,1,91.4,91.2,0.65,0.26,-1.68,1, R, .,E03RI2L03
4,-1.6,2,647,582,0.15,0.58,-4.88,0.61,-1.56,-1.32,0.67,1,94.6,90.8,0.65,0.2,-1.59,1, R, .,E03RL7L03
5,-1.31,2,647,539,0.14,0.67,-4.01,0.4,-3.07,-0.26,0.71,1,93.1,89.3,0.64,0.24,-1.31,1, R, .,E03WR4L02
6,-1.57,2,647,537,0.15,0.84,-1.69,1.22,0.82,0.05,0.69,1,91.8,90.6,0.65,0.25,-1.56,1, R, .,E03WR4L03
7,-0.29,2,647,476,0.11,1.05,0.79,1.48,2.72,-0.19,0.58,1,82.1,82.2,0.62,0.36,-0.29,1, R, .,E03RL1L02
8,-0.06,2,647,451,0.11,0.95,-0.8,0.98,-0.11,-0.09,0.62,1,81.9,80.6,0.61,0.36,-0.06,1, R, .,E03RL1M06
9,-0.45,2,647,478,0.12,1.18,2.6,1.31,1.72,-0.05,0.56,1,78.9,83.5,0.62,0.37,-0.45,1, R, .,E03WR3L01
10,0.74,2,647,356,0.1,1.18,3.69,1.49,3.84,0.16,0.51,1,73.4,76.1,0.58,0.44,0.74,1, R, .,E03LA4L01
11,0.78,2,647,396,0.1,0.98,-0.43,1.23,1.99,-0.29,0.58,1,78.6,76,0.58,0.4,0.78,1, R, .,E03RI4M06
12,-0.66,2,647,475,0.12,0.8,-2.92,0.52,-3.02,0.2,0.71,1,86.5,85.1,0.63,0.3,-0.66,1, R, .,E03WR4M06
13,-0.55,2,647,467,0.12,0.8,-3.21,0.56,-2.89,0.2,0.71,1,86.5,84.2,0.62,0.3,-0.55,1, R, .,E03WR4M07
14,-0.31,2,647,492,0.11,0.79,-3.68,0.54,-3.44,-0.4,0.67,1,86,82.4,0.62,0.31,-0.31,1, R, .,E03WR2M08
15,0.61,2,647,400,0.1,0.88,-2.57,0.87,-1.13,-0.17,0.62,1,81.4,76.6,0.59,0.37,0.61,1, R, .,E03WR5M06
