"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.42,2,635,560,0.18,1.16,1.38,2.73,3.18,-0.26,0.59,1,91.4,92.6,0.65,0.25,-1.41,1," R"," ."," E07RI1L03"
2,-1.11,2,635,566,0.17,0.73,-2.71,0.79,-0.47,-0.84,0.65,1,93.3,91.9,0.66,0.21,-1.1,1," R"," ."," E07RI3LSAMPLE"
3,-0.88,2,635,548,0.16,1.04,0.44,0.75,-0.65,-0.4,0.63,1,90.1,91.4,0.67,0.26,-0.88,1," R"," ."," E07LA1L02"
4,-0.7,2,635,525,0.16,1.14,1.42,0.75,-0.68,0.07,0.66,1,88.7,90.8,0.67,0.28,-0.7,1," R"," ."," E07WR9L01"
5,-0.82,2,635,533,0.16,1.21,2,1.29,0.87,-0.02,0.63,1,87.9,91.2,0.67,0.28,-0.82,1," R"," ."," E07RI5M06"
6,-1,2,635,538,0.17,0.84,-1.57,0.31,-2.56,0.03,0.71,1,91.5,91.7,0.66,0.23,-1,1," R"," ."," E07WR4L01"
7,-0.46,2,635,534,0.15,0.82,-1.94,0.72,-0.8,-0.41,0.68,1,90.8,90,0.68,0.25,-0.46,1," R"," ."," E07WR4L03"
8,0.2,2,635,486,0.14,1.18,2.1,1.08,0.4,0.01,0.65,1,85.6,87.4,0.69,0.33,0.2,1," R"," ."," E07RI1L02"
9,1.07,2,635,458,0.12,1.17,2.35,1.1,0.65,-0.36,0.64,1,79.9,83.5,0.68,0.37,1.07,1," R"," ."," E07WR3M08"
10,-0.05,2,635,497,0.14,0.78,-2.73,0.82,-0.59,0.05,0.73,1,91.2,88.5,0.68,0.26,-0.05,1," R"," ."," E07WR4M06"
11,0.05,2,635,490,0.14,0.82,-2.19,0.71,-1.18,0.08,0.73,1,90.3,88,0.68,0.27,0.05,1," R"," ."," E07WR4M08"
12,0.89,2,635,448,0.13,1.15,2.05,1.21,1.2,-0.02,0.65,1,81,84.3,0.69,0.36,0.89,1," R"," ."," E07WR5M06"
13,0.02,2,635,472,0.14,1,0.02,0.84,-0.56,0.45,0.72,1,87.5,88.2,0.68,0.3,0.02,1," R"," ."," E07RL1H09"
14,0.26,2,635,481,0.14,0.81,-2.47,0.52,-2.41,0.04,0.73,1,89.3,87.1,0.69,0.28,0.26,1," R"," ."," E07RL1H11"
15,1.12,2,635,441,0.12,0.96,-0.55,1.02,0.21,-0.14,0.69,1,84.7,83.3,0.68,0.34,1.12,1," R"," ."," E07LA4H12"
16,2.03,1,635,365,0.11,0.88,-2.19,0.83,-1.2,0,0.7,1,84,80.3,0.67,0.35,2.03,1," R"," ."," E07WR4H10"
17,0.47,2,635,450,0.13,1.03,0.43,0.64,-1.89,0.36,0.72,1,83.8,86.1,0.69,0.32,0.47,1," R"," ."," E07RI1H11"
18,1.26,1,635,422,0.12,0.99,-0.09,1.14,0.91,0,0.68,1,84.7,82.8,0.68,0.35,1.26,1," R"," ."," E07RL6M06"
19,1.13,2,635,453,0.12,0.84,-2.53,0.64,-2.51,-0.34,0.72,1,85.7,83.3,0.68,0.31,1.13,1," R"," ."," E07RL4M07"
20,1.5,1,635,405,0.12,1.09,1.41,0.95,-0.3,0,0.66,1,78.9,82,0.68,0.37,1.5,1," R"," ."," E07RI2H13"
