"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-2.02,2,595,1094,0.18,1.6,4.23,1.28,0.85,0.53,0.6,1,87.3,92.7,0.63,0.3,-2.01,1," R"," ."," E05RL7L02"
2,-1.99,2,595,1113,0.18,0.99,-0.06,0.54,-1.49,-0.06,0.64,1,92.2,92.6,0.63,0.24,-1.98,1," R"," ."," E05RL7L01"
3,-1.9,2,595,1127,0.18,0.91,-0.71,0.39,-2.21,-0.7,0.61,1,91.8,92.4,0.63,0.23,-1.89,1," R"," ."," E05RF3L01"
4,-1.56,2,595,1109,0.16,0.92,-0.74,0.51,-1.83,-0.36,0.63,1,90.9,91.3,0.64,0.25,-1.55,1," R"," ."," E05LA2LSAMPLE"
5,-1.22,2,595,1084,0.15,0.85,-1.59,0.45,-2.34,-0.03,0.68,1,90.6,89.8,0.64,0.26,-1.22,1," R"," ."," E05WR4L01"
6,-1.13,2,595,1087,0.15,0.68,-3.78,0.33,-3.26,-0.19,0.7,1,92.2,89.4,0.64,0.24,-1.13,1," R"," ."," E05WR4L04"
7,-0.8,2,595,1046,0.14,1.18,1.97,0.82,-0.69,0.31,0.64,1,84.8,87.6,0.64,0.33,-0.8,1," R"," ."," E05RL1H09"
8,-0.48,2,595,1042,0.13,0.79,-2.91,0.53,-2.54,0.06,0.7,1,87.3,85.6,0.64,0.29,-0.48,1," R"," ."," E05WR4M08"
9,-0.37,2,595,1038,0.13,0.75,-3.62,0.5,-2.91,0.01,0.71,1,87.8,84.8,0.64,0.29,-0.37,1," R"," ."," E05WR4M05"
10,-0.27,2,595,1019,0.13,1.11,1.5,0.9,-0.48,0.21,0.63,1,81.1,84.1,0.63,0.35,-0.27,1," R"," ."," E05RL1H10"
11,-0.24,2,595,1031,0.13,0.81,-2.91,0.59,-2.44,0,0.69,1,87.1,83.9,0.63,0.3,-0.24,1," R"," ."," E05WR4M06"
12,-0.17,2,595,1025,0.12,1.07,1.03,1.18,0.97,0.02,0.62,1,81.3,83.5,0.63,0.35,-0.17,1," R"," ."," E05RF3M05"
13,-0.07,2,595,1016,0.12,0.95,-0.79,0.65,-2.14,0.06,0.66,1,82,82.9,0.63,0.34,-0.07,1," R"," ."," E05RF4M05"
14,-0.02,2,595,1034,0.12,0.95,-0.74,0.88,-0.64,-0.27,0.63,1,82.8,82.6,0.63,0.34,-0.02,1," R"," ."," E05RI1L03"
15,0.62,2,595,952,0.11,0.79,-4.14,0.61,-3.23,0.21,0.69,1,84.4,79,0.62,0.34,0.62,1," R"," ."," E05WR4H12"
16,0.31,1,595,993,0.12,0.89,-1.87,0.75,-1.71,0,0.66,1,82,80.7,0.63,0.35,0.31,1," R"," ."," E05RF4M06"
17,1.69,2,595,881,0.11,0.79,-4.52,0.63,-2.97,-0.03,0.66,1,82.9,76.4,0.59,0.36,1.69,1," R"," ."," E05WR4H13"
18,0.44,1,595,983,0.11,0.98,-0.29,0.83,-1.17,0,0.64,1,80.2,79.9,0.62,0.37,0.44,1," R"," ."," E05RI8H11"
19,0.82,2,595,988,0.11,0.87,-2.45,0.77,-1.83,-0.44,0.65,1,82,78.1,0.62,0.36,0.82,1," R"," ."," E05RI3M07"
20,0.87,1,595,949,0.11,1.13,2.33,1.32,2.27,0,0.57,1,76.4,77.9,0.62,0.41,0.87,1," R"," ."," E05WR5H10"
21,0.85,2,595,981,0.11,0.84,-3.29,0.74,-2.12,-0.38,0.66,1,82.2,78,0.62,0.35,0.85,1," R"," ."," E05RL3M05"
22,-0.53,1,595,1048,0.13,0.82,-2.42,1.04,0.24,0,0.68,1,88.2,85.9,0.64,0.29,-0.53,1," R"," ."," E05RL7H12"
23,0.86,2,595,876,0.11,0.98,-0.32,1.02,0.2,0.86,0.66,1,78,77.9,0.62,0.38,0.86,1," R"," ."," E05WR4HSAMPLE"
24,2.05,1,595,846,0.11,1.04,0.85,1.09,0.62,0,0.56,1,77.1,76.7,0.58,0.41,2.05,1," R"," ."," E05RI2M07"
25,1.94,2,595,857,0.11,0.85,-3.27,0.76,-1.66,-0.01,0.63,1,81.9,76.6,0.58,0.37,1.94,1," R"," ."," E05WR4H14"
26,1.72,1,595,875,0.11,1.2,3.82,1.16,1.09,0,0.53,1,70.6,76.5,0.59,0.44,1.72,1," R"," ."," E05WR3H09"
27,2,2,595,856,0.11,1.1,1.89,1.13,0.89,-0.05,0.55,1,73,76.6,0.58,0.42,2,1," R"," ."," E05RL6H10"
