"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-2.51,2,251,240,0.37,0.84,-0.57,1.32,0.64,-0.76,0.48,1,94.7,94.9,1.08,1,"R ","E04RF3L01"
2,0.19,2,251,203,0.21,0.95,-0.4,0.93,-0.24,-0.24,0.63,1,85.2,83.2,1.05,1,"R ","E04RF3M05"
3,0.61,2,251,179,0.2,1.31,2.68,1.38,1.83,0.31,0.6,1,74.6,80.8,0.63,1,"R ","E04RF3H10"
4,0.17,2,251,199,0.21,1.4,3.01,1.55,2.09,-0.04,0.53,1,77.2,83.3,0.57,1,"R ","E04RL1L04"
5,-0.07,2,251,204,0.22,1.32,2.35,1.53,1.82,-0.03,0.54,1,78.3,84.8,0.67,1,"R ","E04RL1M07"
6,0.12,2,251,205,0.21,0.99,-0.06,1.07,0.35,-0.27,0.6,1,85.7,83.6,0.98,1,"R ","E04RL1H10"
7,0.62,2,251,189,0.2,1.19,1.74,1.29,1.42,-0.07,0.59,1,77.8,80.7,0.76,1,"R ","E04RI2L01"
8,0.71,2,251,177,0.19,1.66,5.33,2.44,5.61,0.28,0.48,1,69.3,80.2,0.06,1,"R ","E04RI2M08"
9,-1.29,2,251,226,0.28,0.79,-1.2,0.36,-1.57,-0.17,0.63,1,93.1,91.1,1.19,1,"R ","E04WR4L02"
10,-0.37,2,251,211,0.23,0.61,-3.2,0.32,-2.93,-0.08,0.72,1,91.5,86.5,1.37,1,"R ","E04WR4M05"
11,1.81,2,251,151,0.18,0.94,-0.76,0.85,-0.77,0.05,0.68,1,77.2,75,1.12,1,"R ","E04WR4H09"
12,-1.29,2,251,223,0.28,0.86,-0.78,1.3,0.72,0.07,0.62,1,93.7,91,1.06,1,"R ","E04WR9L03"
13,0.01,2,251,202,0.22,0.82,-1.46,0.56,-1.97,-0.01,0.69,1,85.7,84.3,1.21,1,"R ","E04WR9M08"
14,-0.97,2,251,219,0.26,0.92,-0.41,0.43,-1.58,0.04,0.65,1,87.8,89.6,1.13,1,"R ","E04WR9H12"
15,-1.77,2,251,228,0.31,0.96,-0.12,0.53,-0.68,0.15,0.61,1,93.7,92.9,1.05,1,"R ","E04LA1L01"
16,0.77,2,251,183,0.19,0.97,-0.22,0.88,-0.64,0.01,0.66,1,81,79.9,1.05,1,"R ","E04LA1M06"
17,0.53,2,251,190,0.2,1.04,0.41,0.89,-0.51,-0.02,0.64,1,80.4,81.2,0.98,1,"R ","E04LA1H09"
18,0.15,2,251,198,0.21,0.9,-0.79,0.86,-0.52,0.03,0.67,1,84.1,83.5,1.1,1,"R ","E04RI5L01"
19,0.19,2,251,198,0.21,0.94,-0.47,0.76,-1.07,-0.02,0.66,1,81,83.2,1.09,1,"R ","E04RI5H09"
20,-0.14,2,251,205,0.22,1.06,0.49,0.88,-0.38,-0.01,0.63,1,82,85.2,0.99,1,"R ","E04RL9L01"
21,0.1,2,251,200,0.21,0.85,-1.25,0.65,-1.55,-0.01,0.68,1,85.2,83.8,1.18,1,"R ","E04RL9M05"
22,0.95,2,251,179,0.19,1.1,1.03,1.17,1,-0.02,0.62,1,77.8,79,0.85,1,"R ","E04RL9H09"
23,0.45,2,251,192,0.2,1.15,1.35,1.14,0.72,-0.02,0.6,1,78.8,81.7,0.83,1,"R ","E04RF4M06"
24,-0.04,2,251,203,0.22,0.97,-0.21,0.93,-0.17,-0.01,0.64,1,85.2,84.6,1.03,1,"R ","E04RF4H09"
25,-0.58,2,251,213,0.24,0.65,-2.71,0.41,-2.13,0.01,0.71,1,92.6,87.5,1.31,1,"R ","E04WR1L03"
26,0.14,2,251,198,0.21,1.09,0.73,1.06,0.32,0.03,0.63,1,82,83.5,0.93,1,"R ","E04WR1M06"
27,-0.16,2,251,205,0.22,0.94,-0.39,0.97,-0.01,0.01,0.64,1,86.2,85.3,1.04,1,"R ","E04WR1H09"
28,-0.01,2,251,201,0.22,0.82,-1.49,0.56,-1.94,0.05,0.7,1,87.3,84.4,1.21,1,"R ","E04RL7H09"
29,-0.88,2,251,217,0.25,0.84,-1.03,0.63,-0.92,0.07,0.65,1,91.5,89,1.13,1,"R ","E04RI6L03"
30,0.64,2,251,187,0.2,0.77,-2.35,0.59,-2.45,-0.01,0.72,1,85.2,80.6,1.3,1,"R ","E04RI6M08"
31,0.22,2,251,196,0.21,0.77,-2.09,0.59,-2.06,0.04,0.71,1,87.8,83,1.26,1,"R ","E04RI6H11"
1,-2.27,2,230,213,0.36,0.65,-1.58,0.17,-1.52,-0.12,0.65,1,95.7,94.6,1.24,1,"R ","E04RL7L02"
2,-1.34,2,230,209,0.3,0.69,-1.75,0.39,-1.31,-0.55,0.64,1,96.2,91.9,1.21,1,"R ","E04RL7M05"
3,-1.2,2,230,203,0.29,1.23,1.22,1.87,1.53,-0.1,0.56,1,90.2,91.3,0.8,1,"R ","E04RL7H10"
