item_id,group,standards,item_information,prompt,option_a,option_b,option_c,correct,brt_response,stem_graphic,answer_choice_a_graphic,answer_choice_b_graphic,answer_choice_c_graphic,location,stem_sm,option_a_sm,option_b_sm,option_c_sm,audio_intro,audio_stem,audio_a,audio_b,audio_c,x2014_15,x2015_16,x2016_17,x2017_18,x2018_19,diff15,diff16,diff17,diff18
M05GEO1.2_H09,5,M05GEO1.2,"(H) Here is a coordinate plane. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) Which point on the coordinate plane shows the point (7, 3): A, B, or C?","Which point on the coordinate plane shows the point (7, 3)?",A,B,C,b,NA,Graph_PointsABC1.ai,NA,NA,NA,Graphs_Number Lines_Tables,prompt + graphic,letter only,letter only,letter only,Math_G5_M05GEO1.2_H09_intro.mp3,Math_G5_M05GEO1.2_H09_stem.mp3,Math_G5_M05GEO1.2_H09_a.mp3,Math_G5_M05GEO1.2_H09_b.mp3,Math_G5_M05GEO1.2_H09_c.mp3,NA,NA,NA,FT,NA,NA,NA,NA,1.4083
M05GEO1.2_H10,5,M05GEO1.2,"(H) Here is a coordinate plane. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) Which point on the coordinate plane shows the point (2, 5): A, B, or C?","Which point on the coordinate plane shows the point (2, 5)?",A,B,C,a,NA,Graph_PointsABC2.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA
M05GEO1.2_H11,5,M05GEO1.2,"(H) Here is a coordinate plane. (Point to student materials.) This is the Y-axis (Point to Y-axis.) and this is the X-axis. (Point to X-axis.) Which point on the coordinate plane shows the point (5, 1): A, B, or C?","Which point on the coordinate plane shows the point (5, 1)?",A,B,C,a,NA,Graph_PointsABC3.ai,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05GEO1.2_H12,5,M05GEO1.2,"(H) Here is a coordinate plane. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) Which point on the coordinate plane shows the point (4, 6): A, B, or C?","Which point on the coordinate plane shows the point (4, 6)?",A,B,C,c,NA,Graph_PointsABC4.AI,NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,OI,NA,NA,NA,1.71,1.71,NA,NA
M05GEO1.2_L01,5,M05GEO1.2,"(L) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) This point, A, is 4 units to the right and how many units up: 3, 4, or 5?","This point, A, is 4 units to the right and how many units up?",3,4,5,a,NA,"Graph_PointA(4,3).ai",NA,NA,NA,Graphs_Number Lines_Tables,prompt + graphic,number only,number only,number only,Math_G5_M05GEO1.2_L01_intro.mp3,Math_G5_M05GEO1.2_L01_stem.mp3,Math_G5_M05GEO1.2_L01_a.mp3,Math_G5_M05GEO1.2_L01_b.mp3,Math_G5_M05GEO1.2_L01_c.mp3,NA,FT,OI,OI,NA,NA,1.06,1.06,1.06
M05GEO1.2_L02,5,M05GEO1.2,"(L) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) This point, A, is 2 units to the right and how many units up: 1, 4, or 6?","This point, A, is 2 units to the right and how many units up?",1,4,6,c,NA,"Graph_PointA(2,6).ai",NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05GEO1.2_L03,5,M05GEO1.2,"(L) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) This point, A, is 5 units to the right and how many units up: 2, 3, or 4?","This point, A, is 5 units to the right and how many units up?",2,3,4,a,NA,"Graph_PointA(5,2)a.AI",NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,1.02,NA,NA,NA
M05GEO1.2_L04,5,M05GEO1.2,"(L) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) This point, A, is 4 units to the right and how many units up: 5, 6, or 7?","This point, A, is 4 units to the right and how many units up?",5,6,7,b,NA,"Graph_PointA(4,6).ai",NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M05GEO1.2_M05,5,M05GEO1.2,"(M) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) What are the coordinates of point A: (5,4), (5,2), or (2,3)?",What are the coordinates of point A?,"(5, 4)","(5, 2)","(2, 3)",b,NA,"Graph_PointA(5,2)b.ai",NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FT,NA,NA,NA,NA,0.77,NA
M05GEO1.2_M06,5,M05GEO1.2,"(M) Here is a coordinate plane, which is like two rulers going different directions. (Point to student materials.) This is the Y-axis. (Point to Y-axis.) This is the X-axis. (Point to X-axis.) What are the coordinates of point D: (7,1), (1,6), or (2,4)?",What are the coordinates of point D?,"(7, 1)","(1, 6)","(2, 4)",a,NA,"Graph_PointA(7,1).ai",NA,NA,NA,Graphs_Number Lines_Tables,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
