"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-2.9,2,499,410,0.21,1.91,4.51,1.66,1.79,0.92,0.64,1,89.7,94.2,0.67,0.3,-2.89,1," R"," ."," M11GMG1.1_L03"
2,-1.08,2,499,369,0.13,1.12,1.59,1.21,1.28,-0.06,0.53,1,79.8,81.9,0.59,0.38,-1.08,1," R"," ."," M11FUN3.7AM05"
3,-1.3,2,499,255,0.13,2.62,9.9,3.04,7.63,1.66,0.41,1,54.8,84.1,0.6,0.56,-1.3,1," R"," ."," M11NAQ1.1_H10"
4,-1.25,2,499,388,0.13,0.97,-0.41,0.77,-1.36,-0.24,0.6,1,83.7,83.6,0.6,0.34,-1.25,1," R"," ."," M11STP1.1_L01"
5,-1.14,2,499,355,0.13,1.02,0.23,0.8,-1.24,0.22,0.62,1,80.2,82.5,0.59,0.36,-1.14,1," R"," ."," M11GRT2.5_L03"
6,-1.08,2,499,412,0.13,0.76,-3.59,1.01,0.11,-0.94,0.61,1,87.3,81.9,0.59,0.32,-1.08,1," R"," ."," M11GMG1.1_M06"
7,-0.87,2,499,368,0.12,0.82,-2.91,0.7,-2.34,-0.25,0.63,1,81.9,79.8,0.57,0.34,-0.87,1," R"," ."," M11GMG1.1_H09"
8,-0.82,2,499,353,0.12,1.04,0.63,1.19,1.33,-0.07,0.54,1,80,79.3,0.57,0.39,-0.82,1," R"," ."," M11FUN3.9_L01"
9,-0.73,2,499,356,0.12,0.79,-3.73,0.63,-3.11,-0.2,0.64,1,82.2,78.3,0.57,0.34,-0.73,1," R"," ."," M11GCO4.13H11"
10,-0.66,2,499,328,0.12,1.18,2.85,1.14,1.08,0.13,0.51,1,70.3,77.6,0.56,0.43,-0.66,1," R"," ."," M11GRT2.5_H10"
11,-0.57,2,499,319,0.12,0.91,-1.59,0.79,-1.75,0.16,0.61,1,78.7,76.8,0.56,0.38,-0.57,1," R"," ."," M11GPE2.7_L02"
12,-0.46,2,499,330,0.11,0.81,-3.69,0.68,-2.99,-0.1,0.62,1,81.1,75.8,0.55,0.36,-0.46,1," R"," ."," M11STP1.1_H12"
13,-0.29,2,499,317,0.11,0.91,-1.78,0.85,-1.33,-0.1,0.57,1,77.2,74.4,0.54,0.39,-0.29,1," R"," ."," M11STP1.5_L02"
14,-0.23,2,499,333,0.11,1,-0.05,1.15,1.33,-0.37,0.53,1,73.3,73.9,0.54,0.42,-0.23,1," R"," ."," M11ALG1.1AH10"
15,-0.17,2,499,337,0.11,0.79,-4.75,0.69,-3.25,-0.48,0.62,1,82.4,73.5,0.54,0.37,-0.17,1," R"," ."," M11GCO4.13L03"
16,-0.4,1,499,318,0.11,1,-0.01,0.94,-0.52,0,0.55,1,74.6,75.2,0.55,0.41,-0.4,1," R"," ."," M11FUN1.5_L04"
17,-0.13,2,499,309,0.11,0.95,-1.06,0.88,-1.13,-0.15,0.55,1,74.2,73.3,0.53,0.41,-0.13,1," R"," ."," M11NAQ2.4AH11"
