"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.31,2,612,517,0.17,1.3,2.52,1.01,0.16,0.27,0.61,1,87.4,91.7,0.62,0.29,-1.3,1," R"," ."," E06RI8L01"
2,-1.27,2,612,512,0.17,1.34,2.83,1.77,1.91,0.35,0.6,1,88.4,91.5,0.62,0.3,-1.26,1," R"," ."," E06RL3L04"
3,-0.92,2,612,513,0.16,1.17,1.74,0.96,-0.02,-0.03,0.6,1,87.2,89.8,0.63,0.3,-0.91,1," R"," ."," E06RL3L01"
4,-0.88,2,612,517,0.15,0.95,-0.54,0.63,-1.24,-0.17,0.63,1,89.5,89.6,0.63,0.27,-0.87,1," R"," ."," E06RL1M05"
5,-0.79,2,612,511,0.15,0.82,-2.1,0.46,-2.06,-0.11,0.67,1,90.1,89.1,0.63,0.26,-0.79,1," R"," ."," E06WR4L03"
6,-0.74,2,612,504,0.15,0.91,-1.04,0.51,-1.82,0.01,0.66,1,88.7,88.8,0.63,0.27,-0.74,1," R"," ."," E06WR4L01"
7,-0.17,2,612,482,0.14,0.92,-1.01,0.94,-0.17,-0.11,0.65,1,86.3,85.5,0.64,0.31,-0.17,1," R"," ."," E06RL6L01"
8,0.02,2,612,493,0.13,0.83,-2.46,0.83,-0.77,-0.54,0.65,1,87.4,84.4,0.64,0.3,0.02,1," R"," ."," E06RI1L01"
9,0.62,2,612,427,0.12,1.06,0.98,1.13,0.8,0.01,0.63,1,80.5,81.7,0.65,0.37,0.62,1," R"," ."," E06RL3M08"
10,0.65,2,612,469,0.12,1.09,1.36,1.27,1.6,-0.71,0.59,1,80.1,81.6,0.65,0.37,0.65,1," R"," ."," E06LA2H12"
11,0.73,2,612,427,0.12,0.92,-1.35,0.91,-0.52,-0.11,0.66,1,82.6,81.3,0.65,0.35,0.73,1," R"," ."," E06RL6M06"
12,-0.15,2,612,462,0.13,0.86,-1.98,0.56,-2.19,0.23,0.7,1,87.1,85.3,0.64,0.3,-0.15,1," R"," ."," E06WR4M08"
13,-0.1,2,612,465,0.13,0.84,-2.21,0.7,-1.39,0.13,0.69,1,87.6,85.1,0.64,0.3,-0.1,1," R"," ."," E06WR4M07"
14,-0.17,2,612,456,0.14,1.17,2.18,1,0.07,0.35,0.65,1,81.4,85.5,0.64,0.35,-0.17,1," R"," ."," E06RL1H09"
15,0.6,2,612,428,0.12,0.89,-1.71,0.83,-1.07,0.01,0.68,1,83.7,81.7,0.65,0.34,0.6,1," R"," ."," E06RL1H10"
16,1.52,1,612,361,0.11,1.07,1.21,0.92,-0.64,0,0.64,1,75.2,78.9,0.65,0.4,1.52,1," R"," ."," E06RI2H13"
17,0.87,2,612,433,0.12,1.21,3.3,1.15,1.02,-0.34,0.59,1,73.4,80.8,0.65,0.4,0.87,1," R"," ."," E06WR1M07"
18,1.94,1,612,327,0.11,0.86,-2.58,0.72,-2.34,0,0.68,1,80.7,78.2,0.64,0.36,1.94,1," R"," ."," E06WR4H10"
19,0.93,2,612,443,0.12,0.84,-2.8,0.68,-2.47,-0.55,0.68,1,84.4,80.6,0.65,0.34,0.93,1," R"," ."," E06LA4M06"
20,1.21,1,612,385,0.12,0.97,-0.45,0.84,-1.24,0,0.66,1,79.5,79.7,0.65,0.37,1.21,1," R"," ."," E06RL1H12"
21,0.99,2,612,430,0.12,0.74,-4.72,0.59,-3.43,-0.41,0.7,1,86.9,80.4,0.65,0.32,0.99,1," R"," ."," E06RI3M05"
22,1.28,1,612,379,0.11,1.16,2.6,1.24,1.75,0,0.61,1,76.4,79.4,0.65,0.41,1.29,1," R"," ."," E06LA4H12"
23,1,2,612,387,0.12,1.09,1.47,1.11,0.81,0.18,0.64,1,76.9,80.3,0.65,0.39,1,1," R"," ."," E06RI2H15"
24,0.88,1,612,409,0.12,1.21,3.29,1.12,0.85,0,0.6,1,74.9,80.7,0.65,0.4,0.88,1," R"," ."," E06RL2H11"
25,0.99,2,612,410,0.12,0.77,-4.08,0.69,-2.42,-0.12,0.7,1,86.5,80.4,0.65,0.33,0.99,1," R"," ."," E06LA4H09"
26,1.43,1,612,368,0.11,0.98,-0.27,0.88,-0.91,0,0.66,1,79,79.1,0.65,0.38,1.43,1," R"," ."," E06RI3H12"
27,1.01,2,612,406,0.12,1.08,1.36,1.16,1.11,-0.09,0.62,1,79.7,80.3,0.65,0.39,1.01,1," R"," ."," E06RI8H09"
28,2.19,1,612,307,0.11,0.87,-2.46,0.77,-1.73,0,0.67,1,80.5,77.9,0.64,0.36,2.19,1," R"," ."," E06WR4H12"
