"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-2.3,2,509,970,0.19,0.65,-2.8,0.32,-3.23,-0.95,0.71,1,95,93,0.67,0.19,-2.29,1," R"," ."," M07GEO1.2_M05"
2,-1.78,2,509,916,0.16,1.2,1.67,1.19,0.91,0.39,0.65,1,87.3,90.4,0.64,0.31,-1.77,1," R"," ."," M07RPR1.1_L04"
3,-1.75,2,509,929,0.16,0.93,-0.63,0.61,-2.03,0.07,0.69,1,90.2,90.2,0.64,0.27,-1.74,1," R"," ."," M07TNS1.1BL01"
4,-1.69,2,509,927,0.16,1.13,1.17,0.95,-0.16,0.06,0.62,1,86.9,89.8,0.64,0.31,-1.68,1," R"," ."," M07STP1.2_L01"
5,-1.63,2,509,932,0.16,0.9,-0.93,0.77,-1.17,-0.13,0.66,1,89.6,89.4,0.63,0.28,-1.62,1," R"," ."," M07EXE2.3_L03"
6,1.85,2,509,710,0.11,1.24,4.55,2.08,5.92,-0.54,0.39,1,67.8,74.1,0.4,0.46,1.85,1," R"," ."," M07STP2.4_H12"
7,-1.15,2,509,907,0.14,0.97,-0.36,0.95,-0.27,-0.05,0.61,1,85.2,85.6,0.61,0.33,-1.15,1," R"," ."," M07TNS1.1AL01"
8,-0.85,2,509,830,0.13,1.58,6.81,1.81,4.83,0.79,0.49,1,70.5,82.7,0.59,0.45,-0.85,1," R"," ."," M07GEO1.1_L04"
9,-0.77,2,509,855,0.13,1.05,0.75,0.84,-1.28,0.39,0.62,1,77.5,81.8,0.58,0.37,-0.77,1," R"," ."," M07EXE2.3_M07"
10,-0.61,2,509,872,0.12,1.02,0.3,1.1,0.81,-0.01,0.56,1,79.6,80.1,0.57,0.38,-0.61,1," R"," ."," M07TNS1.1BM06"
11,-0.56,2,509,862,0.12,0.89,-1.77,0.82,-1.59,0.08,0.62,1,80.5,79.5,0.57,0.36,-0.56,1," R"," ."," M07STP1.2_M06"
12,-0.47,2,509,843,0.12,1.05,0.89,1.07,0.65,0.25,0.57,1,76.9,78.5,0.56,0.4,-0.47,1," R"," ."," M07TNS1.1DL03"
13,-0.32,2,509,876,0.12,0.95,-0.96,0.95,-0.41,-0.36,0.56,1,79.4,76.9,0.55,0.39,-0.32,1," R"," ."," M07TNS1.1AM06"
14,-0.13,2,509,844,0.11,0.9,-1.91,0.87,-1.37,-0.1,0.58,1,76.9,75.1,0.54,0.39,-0.13,1," R"," ."," M07TNS1.2AL02"
15,-0.12,2,509,812,0.11,1.17,3.08,1.28,2.62,0.28,0.48,1,71.1,75,0.54,0.44,-0.12,1," R"," ."," M07GEO1.2_H11"
16,2.56,1,509,608,0.12,1.22,3.17,1.86,3.94,0,0.2,1,80,81,0.34,0.41,2.55,1," R"," ."," M07TNS1.2BH09"
17,-0.1,2,509,791,0.11,1.07,1.36,1.02,0.24,0.5,0.55,1,70.9,74.8,0.54,0.42,-0.1,1," R"," ."," M07STP3.7AH12"
18,-0.89,1,509,889,0.13,0.8,-2.81,0.64,-2.95,0,0.67,1,85.7,83,0.59,0.32,-0.88,1," R"," ."," M07STP2.3_H10"
19,0.01,2,509,863,0.11,0.8,-4.32,0.7,-3.46,-0.49,0.61,1,80.5,73.9,0.53,0.37,0.01,1," R"," ."," M07RPR1.1_H09"
20,-0.15,1,509,837,0.11,1.04,0.74,1.03,0.32,0,0.53,1,74.6,75.2,0.54,0.41,-0.15,1," R"," ."," M07RPR1.2CH09"
21,0.11,2,509,774,0.11,0.92,-1.74,0.78,-2.47,0.48,0.59,1,74.6,73.2,0.53,0.4,0.11,1," R"," ."," M07EXE2.3_H11"
22,0.3,1,509,799,0.11,1.27,5.6,1.42,4.16,0,0.39,1,62.4,72.1,0.51,0.48,0.31,1," R"," ."," M07GEO2.4_H10"
23,0.16,2,509,801,0.11,0.84,-3.68,0.7,-3.57,0.12,0.6,1,76.1,72.9,0.52,0.39,0.16,1," R"," ."," M07EXE2.3_H09"
24,0.58,1,509,774,0.1,0.89,-2.74,0.83,-1.96,0,0.54,1,75.7,71.2,0.49,0.41,0.58,1," R"," ."," M07GEO2.4_M05"
25,0.17,2,509,829,0.11,1.01,0.21,0.91,-0.93,-0.21,0.52,1,70.7,72.8,0.52,0.42,0.17,1," R"," ."," M07TNS1.1DM07"
26,-0.17,1,509,839,0.11,0.96,-0.81,0.87,-1.37,0,0.57,1,76.3,75.5,0.54,0.4,-0.17,1," R"," ."," M07RPR1.2CH10"
27,0.2,2,509,828,0.11,1.03,0.57,0.98,-0.23,-0.23,0.51,1,70.3,72.6,0.52,0.43,0.2,1," R"," ."," M07TNS1.1DH12"
28,0.51,1,509,781,0.11,0.93,-1.66,0.86,-1.54,0,0.53,1,75.5,71.3,0.5,0.42,0.51,1," R"," ."," M07EXE1.1_M07"
29,0.26,2,509,799,0.11,0.9,-2.29,0.83,-1.92,0.05,0.56,1,75.9,72.3,0.52,0.4,0.26,1," R"," ."," M07STP3.7AM07"
30,0.75,1,509,759,0.1,0.95,-1.3,0.9,-1.03,0,0.51,1,73.8,70.9,0.48,0.43,0.75,1," R"," ."," M07EXE1.1_H11"
31,0.26,2,509,827,0.11,0.8,-4.68,0.69,-3.76,-0.28,0.6,1,80.9,72.3,0.52,0.38,0.26,1," R"," ."," M07TNS1.2AL01"
32,-0.89,1,509,889,0.13,0.9,-1.33,0.94,-0.37,0,0.62,1,86.1,83,0.59,0.34,-0.88,1," R"," ."," M07TNS1.2CH11"
33,0.27,2,509,799,0.11,0.89,-2.5,0.8,-2.33,0.04,0.57,1,75.5,72.3,0.52,0.4,0.27,1," R"," ."," M07STP1.2_H09"
34,0.5,1,509,782,0.11,1.37,7.62,1.4,3.9,0,0.35,1,56.1,71.4,0.5,0.51,0.5,1," R"," ."," M07GEO2.4_H12"
35,0.37,2,509,775,0.11,0.9,-2.22,0.82,-2.13,0.2,0.55,1,74,71.8,0.51,0.41,0.37,1," R"," ."," M07EXE2.3_H12"
36,2.12,1,509,639,0.11,1.1,1.76,1.35,2.11,0,0.31,1,75.5,76.3,0.38,0.42,2.12,1," R"," ."," M07STP2.4_H11"
37,0.54,2,509,817,0.11,0.87,-3.18,0.8,-2.34,-0.43,0.57,1,77.5,71.3,0.5,0.4,0.54,1," R"," ."," M07GEO1.1_L01"
38,1.99,1,509,649,0.11,1.38,6.69,1.71,4.02,0,0.2,1,67.6,75.2,0.39,0.48,1.99,1," R"," ."," M07TNS1.2CM07"
39,0.57,2,509,769,0.1,1.09,2.03,1.07,0.79,0.07,0.46,1,67.6,71.2,0.5,0.45,0.57,1," R"," ."," M07STP3.5_L04"
40,0.69,2,509,815,0.1,0.92,-1.87,0.87,-1.42,-0.56,0.56,1,73.4,71,0.49,0.42,0.69,1," R"," ."," M07STP3.7AM06"
41,0.94,2,509,827,0.1,1.22,5.06,1.2,1.9,-0.93,0.47,1,60.9,70.8,0.47,0.48,0.94,1," R"," ."," M07TNS1.2DH09"
42,1,2,509,714,0.1,1.06,1.42,1.06,0.61,0.24,0.42,1,68.2,70.8,0.46,0.45,1,1," R"," ."," M07RPR1.1_M06"
43,1.01,2,509,734,0.1,0.87,-3.34,0.81,-1.88,0.01,0.52,1,76.9,70.8,0.46,0.41,1.01,1," R"," ."," M07RPR1.1_H12"
44,1.07,2,509,648,0.1,1.27,6.04,1.26,2.33,0.94,0.27,1,59.5,70.8,0.46,0.49,1.07,1," R"," ."," M07GEO1.1_M05"
45,1.39,2,509,708,0.11,0.96,-1,0.95,-0.36,-0.08,0.46,1,74.2,71.5,0.44,0.42,1.39,1," R"," ."," M07GEO1.1_H11"
