"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-0.63,2,217,156,0.18,0.75,-2.79,0.58,-2.88,-0.08,0.65,1,81.8,78.9,1.36,1,"R ","M11FUN3.7AL01"
2,-1.08,2,217,171,0.2,0.89,-0.91,0.63,-1.87,-0.22,0.6,1,82.8,83.4,1.16,1,"R ","M11FUN3.7AM05"
3,0.23,2,217,120,0.16,1.12,1.72,1.49,3.59,0.11,0.45,1,70,72,0.64,1,"R ","M11FUN3.7AH09"
4,-1.25,2,217,172,0.21,0.88,-0.95,0.77,-0.94,-0.09,0.61,1,86.7,85,1.12,1,"R ","M11STP1.1_L01"
5,-0.73,2,217,159,0.19,0.84,-1.67,0.66,-2.1,-0.09,0.62,1,80.3,79.9,1.24,1,"R ","M11STP1.1_M06"
6,-0.46,2,217,149,0.18,0.9,-1.11,0.81,-1.27,-0.02,0.59,1,77.8,77.4,1.17,1,"R ","M11STP1.1_H12"
7,-0.38,2,217,155,0.18,0.87,-1.55,0.94,-0.36,-0.3,0.57,1,79.8,76.6,1.18,1,"R ","M11STP1.5_L01"
8,0.23,2,217,124,0.16,1.05,0.8,1.08,0.71,0,0.49,1,69,72,0.88,1,"R ","M11STP1.5_M05"
9,0.57,2,217,108,0.16,1.06,0.86,1.16,1.37,0.08,0.46,1,70.4,70.7,0.82,1,"R ","M11STP1.5_H09"
10,0.66,2,217,109,0.16,1.05,0.8,1.08,0.66,-0.03,0.47,1,69.5,70.5,0.86,1,"R ","M11FUN1.2_L01"
11,-0.55,2,217,147,0.18,1.17,1.8,1.22,1.3,0.13,0.49,1,72.4,78.2,0.75,1,"R ","M11FUN1.2_M05"
12,0.46,2,217,119,0.16,1.1,1.5,1.25,1.99,-0.09,0.45,1,67.5,71,0.71,1,"R ","M11FUN1.2_H09"
13,-0.3,2,217,144,0.17,0.94,-0.75,0.82,-1.26,-0.03,0.57,1,76.4,75.9,1.13,1,"R ","M11NAQ2.4AL01"
14,-0.42,2,217,148,0.18,1,0.05,0.88,-0.77,-0.03,0.55,1,75.4,77,1.03,1,"R ","M11NAQ2.4AM07"
15,-0.13,2,217,138,0.17,0.96,-0.45,0.98,-0.1,-0.02,0.54,1,76.4,74.4,1.06,1,"R ","M11NAQ2.4AH11"
16,0.46,2,217,116,0.16,1.04,0.68,1.09,0.8,-0.02,0.48,1,68,71,0.88,1,"R ","M11ALG1.1AL01"
17,0.26,2,217,123,0.16,1.19,2.67,1.3,2.32,0,0.42,1,63.5,71.8,0.55,1,"R ","M11ALG1.1AM05"
18,0.44,2,217,117,0.16,0.95,-0.79,0.89,-0.93,-0.02,0.53,1,72.4,71.1,1.14,1,"R ","M11ALG1.1AH09"
19,0.07,2,217,131,0.17,1.09,1.18,1.22,1.66,-0.02,0.47,1,69.5,73.1,0.79,1,"R ","M11GPE2.6_L02"
20,0.82,2,217,102,0.16,1.07,1.13,1.44,3.18,-0.01,0.44,1,68,70.3,0.74,1,"R ","M11GPE2.6_M07"
21,1.29,2,217,83,0.16,1.15,2.22,1.2,1.32,0.01,0.39,1,64.5,71.4,0.61,1,"R ","M11GPE2.6_H10"
22,-0.4,2,217,146,0.18,0.93,-0.79,0.95,-0.27,0.01,0.57,1,78.3,76.8,1.09,1,"R ","M11GCO4.13L02"
23,0.27,2,217,122,0.16,0.93,-1,0.83,-1.48,0.02,0.55,1,70.9,71.8,1.19,1,"R ","M11GCO4.13M06"
24,-0.73,2,217,156,0.19,0.83,-1.74,0.88,-0.62,0.02,0.61,1,84.7,79.9,1.19,1,"R ","M11GCO4.13H11"
25,-1.71,2,217,177,0.23,0.8,-1.36,0.53,-1.75,0.13,0.69,1,91.1,88.6,1.18,1,"R ","M11GMG1.1_L02"
26,-1.08,2,217,165,0.2,0.9,-0.8,0.91,-0.35,0.03,0.6,1,83.7,83.4,1.09,1,"R ","M11GMG1.1_M06"
27,1.19,2,217,87,0.16,1.28,4.04,1.47,2.94,0,0.33,1,62.6,71,0.24,1,"R ","M11GMG1.1_H10"
28,-0.81,2,217,158,0.19,0.74,-2.71,0.57,-2.64,0.02,0.67,1,85.7,80.7,1.33,1,"R ","M11GRT2.5_L01"
29,-0.84,2,217,159,0.19,0.75,-2.62,0.68,-1.84,0.02,0.66,1,84.2,81,1.31,1,"R ","M11GRT2.5_M07"
30,-0.88,2,217,160,0.19,0.76,-2.43,0.77,-1.19,0.02,0.66,1,85.7,81.4,1.28,1,"R ","M11GRT2.5_H09"
31,0.22,2,217,124,0.16,1.09,1.25,1.01,0.15,0.01,0.48,1,67,72,0.85,1,"R ","M11FUN3.9_L02"
32,0.93,2,217,97,0.16,1.24,3.52,1.23,1.71,0,0.38,1,60.6,70.3,0.41,1,"R ","M11FUN3.9_H10"
33,0.2,2,217,125,0.16,0.87,-2,0.88,-0.96,0.01,0.57,1,78.3,72.2,1.27,1,"R ","M11GPE2.7_L03"
34,-0.42,2,217,146,0.18,0.83,-2.06,1.01,0.14,0.03,0.6,1,83.3,77,1.23,1,"R ","M11GPE2.7_M05"
35,-0.13,2,217,136,0.17,0.87,-1.71,0.71,-2.36,0.03,0.6,1,75.4,74.4,1.28,1,"R ","M11GPE2.7_H09"
36,0.95,2,217,96,0.16,1.25,3.67,1.26,1.89,0.01,0.37,1,59.1,70.3,0.37,1,"R ","M11STP1.2_L02"
37,0.13,2,217,127,0.16,0.93,-1,0.87,-1.08,0.02,0.55,1,72.4,72.6,1.17,1,"R ","M11STP1.2_M07"
38,0.05,2,217,130,0.17,1.02,0.34,0.97,-0.22,0.02,0.52,1,70,73.2,0.98,1,"R ","M11STP1.2_H09"
39,1.13,2,217,89,0.16,1.25,3.63,1.34,2.23,0.01,0.35,1,61.6,70.7,0.36,1,"R ","M11FUN2.6_L03"
40,0.4,2,217,117,0.16,1.17,2.51,1.14,1.21,0.02,0.44,1,60.6,71.2,0.62,1,"R ","M11FUN2.6_M07"
41,1.25,2,217,84,0.16,1.02,0.27,0.98,-0.11,0.02,0.45,1,73.9,71.2,0.96,1,"R ","M11FUN2.6_H10"
42,0.69,2,217,106,0.16,1.14,2.11,1.12,0.99,0.01,0.43,1,64,70.4,0.66,1,"R ","M11NAQ1.1_L01"
43,1.13,2,217,89,0.16,0.91,-1.47,0.84,-1.16,0.01,0.51,1,75.4,70.7,1.24,1,"R ","M11NAQ1.1_M05"
44,0.38,2,217,118,0.16,0.96,-0.53,0.89,-0.9,0.02,0.53,1,74.9,71.3,1.11,1,"R ","M11NAQ1.1_H11"
45,1.26,2,217,84,0.16,1,0.06,0.96,-0.2,0.01,0.46,1,70,71.3,1,1,"R ","M11FUN1.2_L02"
46,-1.63,2,217,175,0.23,0.75,-1.8,0.45,-2.26,0.15,0.71,1,90.1,88,1.23,1,"R ","M11FUN1.2_M06"
47,0.19,2,217,125,0.16,1.13,1.87,1.1,0.81,0.02,0.46,1,67.5,72.2,0.74,1,"R ","M11FUN1.2_H12"
1,0.06,2,219,134,0.17,0.89,-1.36,0.76,-1.61,-0.15,0.61,1,75.8,75.7,1.21,1,"R ","M11FUN3.7AL02"
4,-0.29,2,219,145,0.18,0.92,-0.95,1.01,0.14,-0.14,0.59,1,80.2,77.3,1.11,1,"R ","M11STP1.5_L02"
5,-0.42,2,219,151,0.18,1.15,1.67,1,0.04,-0.21,0.51,1,72.5,78.1,0.83,1,"R ","M11STP1.5_M06"
6,0.52,2,219,119,0.17,0.97,-0.39,0.88,-0.78,-0.17,0.58,1,74.4,74.7,1.08,1,"R ","M11STP1.5_H10"
13,-0.15,2,219,139,0.17,1.12,1.43,1.07,0.43,-0.1,0.52,1,73.4,76.6,0.82,1,"R ","M11NAQ2.4AL02"
14,-0.01,2,219,134,0.17,0.86,-1.76,0.75,-1.61,-0.08,0.62,1,81.6,76,1.24,1,"R ","M11NAQ2.4AM05"
15,-0.49,2,219,151,0.18,0.86,-1.63,0.71,-1.5,-0.14,0.62,1,81.6,78.5,1.23,1,"R ","M11NAQ2.4AH10"
16,0.35,2,219,121,0.17,1.19,2.34,1.31,1.95,-0.06,0.48,1,70.5,74.9,0.62,1,"R ","M11ALG1.1AL02"
17,1.19,2,219,90,0.17,1.11,1.36,1.44,2.44,-0.02,0.48,1,72.9,74.9,0.75,1,"R ","M11ALG1.1AM07"
18,1.03,2,219,96,0.17,1.27,3.26,1.33,2,-0.03,0.44,1,67.1,74.8,0.5,1,"R ","M11ALG1.1AH11"
19,0.38,2,219,121,0.17,1.08,1.02,1.1,0.71,-0.08,0.53,1,72.5,74.9,0.85,1,"R ","M11GPE2.6_L03"
20,1.36,2,219,85,0.17,1.25,3.04,1.72,3.51,-0.05,0.41,1,68.1,75.2,0.45,1,"R ","M11GPE2.6_M05"
21,1.49,2,219,78,0.17,1.17,2.05,1.39,1.97,0.02,0.44,1,72,75.5,0.64,1,"R ","M11GPE2.6_H09"
22,-0.17,2,219,135,0.17,0.88,-1.46,0.93,-0.35,0.05,0.61,1,79.7,76.7,1.17,1,"R ","M11GCO4.13L03"
23,0.25,2,219,122,0.17,0.83,-2.29,0.76,-1.71,0.01,0.63,1,80.7,75.2,1.3,1,"R ","M11GCO4.13M05"
24,-1.06,2,219,160,0.2,0.8,-2.02,0.61,-1.59,0.13,0.66,1,84.5,81.9,1.26,1,"R ","M11GCO4.13H09"
25,-1.42,2,219,168,0.21,0.83,-1.54,0.84,-0.39,0.18,0.65,1,88.4,84.4,1.18,1,"R ","M11GMG1.1_L01"
26,-1.36,2,219,167,0.21,0.79,-1.97,0.66,-1.1,0.16,0.66,1,88.9,84,1.22,1,"R ","M11GMG1.1_M05"
27,-1.01,2,219,158,0.19,0.7,-3.27,0.48,-2.37,0.14,0.7,1,87.4,81.6,1.38,1,"R ","M11GRT2.5_L02"
28,-1.18,2,219,163,0.2,0.69,-3.21,0.47,-2.2,0.13,0.7,1,89.9,82.7,1.37,1,"R ","M11GRT2.5_M06"
29,-0.66,2,219,150,0.18,0.87,-1.47,0.7,-1.45,0.07,0.64,1,82.1,79.4,1.21,1,"R ","M11GRT2.5_H10"
30,-0.82,2,219,153,0.19,1.02,0.21,1.08,0.42,0.13,0.57,1,81.6,80.3,0.95,1,"R ","M11FUN3.9_L01"
31,1.31,2,219,85,0.17,1.39,4.5,1.4,2.19,0,0.38,1,62.3,75.1,0.32,1,"R ","M11FUN3.9_M07"
32,0.56,2,219,111,0.17,1.19,2.31,1.38,2.39,0.02,0.48,1,70,74.7,0.63,1,"R ","M11FUN3.9_H11"
33,-0.57,2,219,147,0.18,0.8,-2.32,0.79,-1.01,0.07,0.65,1,84.5,78.9,1.27,1,"R ","M11GPE2.7_L02"
34,-0.36,2,219,140,0.18,0.84,-1.89,0.74,-1.47,0.09,0.64,1,79.7,77.7,1.26,1,"R ","M11GPE2.7_M06"
