"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-0.54,2,489,372,0.16,1.49,4.24,2.14,3.06,0.48,0.59,1,83.4,88.6,0.66,0.36,-0.53,1," R"," ."," S11ESS2.1L6"
2,-0.58,2,489,401,0.16,0.84,-1.64,0.68,-1.11,-0.2,0.68,1,89.7,88.9,0.66,0.27,-0.57,1," R"," ."," S11LFS1.5M13"
3,-1.28,2,489,419,0.19,1.06,0.47,0.49,-1.59,-0.1,0.67,1,91,92.4,0.67,0.25,-1.27,1," R"," ."," S11PHS4.2M17"
4,-0.5,2,489,395,0.16,0.93,-0.66,0.75,-0.88,-0.11,0.67,1,86.8,88.4,0.66,0.29,-0.49,1," R"," ."," S11ESS1.1L16"
5,-0.48,2,489,399,0.16,0.95,-0.48,0.99,0.06,-0.24,0.65,1,89,88.3,0.66,0.29,-0.47,1," R"," ."," S11LFS4.3H14"
6,-0.42,2,489,388,0.16,0.78,-2.42,0.42,-2.67,-0.01,0.72,1,89,87.9,0.66,0.27,-0.41,1," R"," ."," S11PHS1.2L06"
7,-0.42,2,489,385,0.16,1.01,0.09,0.66,-1.3,0.07,0.67,1,87.4,87.9,0.66,0.3,-0.41,1," R"," ."," S11ESS3.1M13"
8,-0.48,2,489,396,0.16,0.82,-1.86,0.43,-2.51,-0.16,0.7,1,88.8,88.3,0.66,0.27,-0.47,1," R"," ."," S11LFS4.3L7"
9,-0.71,2,489,406,0.17,0.72,-2.8,0.35,-2.71,-0.22,0.72,1,91.5,89.6,0.66,0.24,-0.7,1," R"," ."," S11PHS4.2H19"
10,0.08,2,489,378,0.14,0.87,-1.69,0.64,-1.88,-0.27,0.67,1,85.9,84.7,0.65,0.31,0.08,1," R"," ."," S11ESS3.4M13"
11,0.11,2,489,353,0.14,1.13,1.53,1.06,0.33,0.21,0.63,1,82.5,84.5,0.65,0.35,0.11,1," R"," ."," S11LFS3.2H9"
12,-0.34,2,489,369,0.16,1.17,1.77,0.89,-0.33,0.35,0.66,1,83,87.4,0.66,0.33,-0.34,1," R"," ."," S11PHS3.4H20"
13,0.56,2,489,335,0.13,1.01,0.12,1.17,0.97,0.09,0.64,1,80.9,81.6,0.64,0.36,0.56,1," R"," ."," S11ESS3.1L1"
14,0.17,2,489,366,0.14,0.88,-1.58,0.79,-1.06,-0.1,0.67,1,86.8,84.1,0.65,0.32,0.17,1," R"," ."," S11LFS1.2H10"
15,-0.23,2,489,378,0.15,0.86,-1.64,0.57,-1.99,0.04,0.7,1,87,86.8,0.65,0.29,-0.23,1," R"," ."," S11PHS3.4L6"
16,-0.84,1,489,403,0.17,0.92,-0.65,1.76,2.03,0,0.67,1,91.9,90.3,0.66,0.26,-0.83,1," R"," ."," S11ESS2.1H10"
17,0.44,2,489,353,0.13,0.85,-2.12,0.9,-0.52,-0.12,0.67,1,83,82.3,0.64,0.32,0.44,1," R"," ."," S11LFS2.2L1"
18,2.17,1,489,232,0.12,1.33,5.54,1.49,2.77,0,0.48,1,67.3,76.1,0.59,0.47,2.17,1," R"," ."," S11ETS1.1M3"
19,0.08,2,489,322,0.14,1.44,4.79,1.51,2.14,0.78,0.62,1,77.8,84.7,0.65,0.4,0.08,1," R"," ."," S11PHS3.3H14"
