"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,-1.37,2,594,1066,0.16,1.22,2.07,0.66,-1.16,0.43,0.67,1,86.3,90.4,0.65,0.3,-1.36,1," R"," ."," S05ETS1.2L1"
2,-0.76,2,594,1059,0.14,1.23,2.64,1.72,2.45,-0.05,0.57,1,84.8,87.3,0.65,0.34,-0.76,1," R"," ."," S05PHS1.1LSAMPLE"
3,-0.57,2,594,1062,0.13,0.89,-1.51,0.72,-1.24,-0.3,0.66,1,87.2,86.2,0.65,0.3,-0.57,1," R"," ."," S05LFS2.1H23"
4,-0.4,2,594,1010,0.13,1.08,1.07,0.77,-1.06,0.42,0.68,1,81,85.1,0.65,0.34,-0.4,1," R"," ."," S05LFS2.1H15"
5,-0.32,2,594,930,0.13,1.74,8.51,2.13,4.18,1.39,0.64,1,70.4,84.6,0.65,0.44,-0.32,1," R"," ."," S05ETS1.1L2"
6,-0.29,2,594,1024,0.13,0.92,-1.14,0.61,-2.15,0.09,0.69,1,84.1,84.4,0.65,0.32,-0.29,1," R"," ."," S05LFS1.1M20"
7,-0.25,2,594,1036,0.13,0.89,-1.66,0.72,-1.45,-0.15,0.68,1,85.2,84.1,0.65,0.32,-0.25,1," R"," ."," S05ESS2.1Msample"
8,-0.21,2,594,1013,0.13,1.09,1.22,0.85,-0.75,0.18,0.65,1,82.1,83.9,0.65,0.35,-0.21,1," R"," ."," S05LFS1.1H16"
9,-0.08,2,594,1052,0.12,0.9,-1.5,0.84,-0.82,-0.61,0.64,1,84.1,83,0.65,0.33,-0.08,1," R"," ."," S05LFS2.1L25"
10,-0.04,2,594,1033,0.12,0.86,-2.28,0.66,-2.04,-0.31,0.67,1,84.7,82.8,0.65,0.32,-0.04,1," R"," ."," S05PHS3.1L10"
11,-0.08,1,594,1016,0.12,1.22,3.05,1.2,1.09,0,0.59,1,78.7,83,0.65,0.38,-0.07,1," R"," ."," S05ETS1.1H16"
12,0.18,2,594,998,0.12,1.06,1,0.91,-0.53,0.01,0.64,1,78.9,81.6,0.65,0.37,0.18,1," R"," ."," S05LFS2.1M30"
13,0.23,2,594,999,0.12,0.8,-3.46,0.59,-2.96,-0.05,0.7,1,85.2,81.4,0.65,0.32,0.23,1," R"," ."," S05LFS1.1L19"
14,1.85,2,594,889,0.11,1.35,6.12,1.64,4.19,-0.28,0.5,1,68.4,77.2,0.6,0.46,1.85,1," R"," ."," S05LFS1.1M13"
15,-0.46,1,594,1040,0.13,0.95,-0.65,0.73,-1.25,0,0.67,1,86.1,85.5,0.65,0.32,-0.46,1," R"," ."," S05ETS1.1H31"
16,0.44,1,594,980,0.12,1.18,2.87,1.34,2.14,0,0.59,1,76.2,80.6,0.64,0.4,0.44,1," R"," ."," S05ESS2.1H23"
17,-0.45,1,594,1039,0.13,0.78,-3.21,0.71,-1.39,0,0.71,1,89.2,85.4,0.65,0.29,-0.44,1," R"," ."," S05ETS1.2H31"
18,0.26,1,594,993,0.12,0.9,-1.64,0.77,-1.56,0,0.67,1,83,81.3,0.64,0.34,0.26,1," R"," ."," S05LFS2.1M21"
19,0.58,1,594,969,0.11,0.78,-4.01,0.7,-2.36,0,0.7,1,85.7,80.1,0.64,0.33,0.59,1," R"," ."," S05PHS1.3M4"
20,1.1,1,594,928,0.11,1.18,3.15,1.19,1.51,0,0.58,1,72.4,78.5,0.63,0.42,1.1,1," R"," ."," S05PHS1.4H23"
21,1.78,1,594,870,0.11,1.29,5.16,1.34,2.47,0,0.51,1,69,77.3,0.6,0.45,1.78,1," R"," ."," S05PHS3.1H6"
22,0.09,1,594,1005,0.12,0.83,-2.85,0.57,-2.91,0,0.7,1,84.1,82,0.65,0.32,0.09,1," R"," ."," S05PHS1.3H31"
23,0.66,2,594,901,0.11,1.48,7.23,1.57,3.65,0.76,0.55,1,67.9,79.8,0.64,0.45,0.66,1," R"," ."," S05ESS1.1H14"
24,0.09,1,594,1005,0.12,0.79,-3.45,0.88,-0.7,0,0.7,1,87,82,0.65,0.31,0.09,1," R"," ."," S05ESS1.2H31"
