"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PointMeasureExpected","RMSR","WMLE","Group","Model","Recoding","ItemID"
1,1.95,2,499,763,0.12,1.2,3.56,3.77,9.9,-0.23,0.5,1,70.8,75.8,0.59,0.44,1.95,1," R"," ."," S08LFS2.1H19"
2,-1.45,2,499,899,0.19,1.47,3.12,0.81,-0.43,0.9,0.7,1,88.1,92.5,0.64,0.3,-1.44,1," R"," ."," S08LFS1.6L6"
3,-0.95,2,499,905,0.17,1.04,0.36,0.66,-1.07,0.25,0.67,1,88.7,90.3,0.64,0.28,-0.94,1," R"," ."," S08ETS1.2M3"
4,-0.93,2,499,889,0.17,1.29,2.44,0.86,-0.33,0.61,0.67,1,85.2,90.2,0.64,0.32,-0.92,1," R"," ."," S08LFS2.2M2"
5,-0.71,2,499,903,0.16,1.21,1.96,0.77,-0.77,0.06,0.62,1,84.5,89,0.64,0.32,-0.7,1," R"," ."," S08PHS3.4M7"
6,-0.71,2,499,917,0.16,0.88,-1.15,0.51,-1.94,-0.32,0.65,1,89.4,89,0.64,0.27,-0.7,1," R"," ."," S08ETS1.2H15"
7,-0.53,2,499,898,0.16,1.09,0.98,1.22,0.85,0.01,0.62,1,85,87.9,0.64,0.32,-0.52,1," R"," ."," S08PHS2.1L11"
8,-0.48,2,499,893,0.15,1.13,1.32,0.9,-0.33,0.07,0.62,1,83.8,87.5,0.64,0.33,-0.47,1," R"," ."," S08PHS2.1M8"
9,-0.86,1,499,911,0.17,0.98,-0.18,0.88,-0.29,0,0.65,1,89.2,89.8,0.64,0.28,-0.86,1," R"," ."," S08ESS3.4M3"
10,0.04,2,499,896,0.14,0.88,-1.6,0.7,-1.58,-0.52,0.63,1,85,83.8,0.63,0.32,0.04,1," R"," ."," S08ETS1.1H19"
11,0.09,2,499,828,0.14,1.4,4.77,1.32,1.56,0.69,0.61,1,74.8,83.4,0.63,0.41,0.09,1," R"," ."," S08LFS1.7M8"
12,0.14,2,499,880,0.14,0.92,-1.07,0.77,-1.25,-0.27,0.63,1,84.7,83.1,0.63,0.33,0.14,1," R"," ."," S08ESS1.3M17"
13,0.17,2,499,877,0.14,0.89,-1.57,0.74,-1.44,-0.24,0.65,1,84.1,82.8,0.63,0.33,0.17,1," R"," ."," S08ESS3.4H4"
14,0.2,2,499,863,0.13,1.01,0.13,0.85,-0.76,0,0.63,1,82.1,82.6,0.63,0.35,0.2,1," R"," ."," S08PHS1.2M18"
15,0.22,2,499,879,0.13,0.86,-2.01,0.63,-2.27,-0.33,0.65,1,84.3,82.5,0.63,0.32,0.22,1," R"," ."," S08ETS1.2H4"
16,0.68,1,499,834,0.13,1.14,2.14,1.3,1.85,0,0.58,1,75.9,79.6,0.62,0.4,0.69,1," R"," ."," S08ESS1.2H14"
17,0.27,2,499,849,0.13,1.06,0.85,0.79,-1.18,0.17,0.64,1,78.5,82.2,0.63,0.36,0.27,1," R"," ."," S08ESS3.3L1"
18,-0.17,1,499,882,0.14,0.84,-1.95,0.77,-1.05,0,0.67,1,85.8,85.4,0.63,0.3,-0.17,1," R"," ."," S08LFS4.2H20"
19,0.43,2,499,869,0.13,0.95,-0.7,0.81,-1.18,-0.34,0.62,1,80.3,81.1,0.62,0.35,0.43,1," R"," ."," S08LFS1.4H15"
20,1.43,1,499,783,0.12,0.87,-2.54,0.75,-1.99,0,0.65,1,79.2,76.4,0.61,0.37,1.43,1," R"," ."," S08ETS1.1H20"
21,0.47,2,499,849,0.13,0.89,-1.65,0.63,-2.52,-0.03,0.66,1,81.2,80.9,0.62,0.34,0.47,1," R"," ."," S08ESS1.2L6"
22,0.3,1,499,857,0.13,1.03,0.5,0.86,-0.73,0,0.62,1,80.1,81.9,0.63,0.36,0.31,1," R"," ."," S08PHS2.2M2"
23,0.53,2,499,865,0.13,0.68,-5.57,0.47,-4.01,-0.37,0.7,1,89.4,80.5,0.62,0.3,0.53,1," R"," ."," S08ESS2.2L11"
24,-0.28,1,499,887,0.15,0.84,-1.94,0.64,-1.69,0,0.68,1,87.8,86.1,0.63,0.29,-0.27,1," R"," ."," S08ESS2.5H15"
25,0.63,2,499,857,0.13,0.79,-3.6,0.55,-3.41,-0.32,0.68,1,82.3,79.9,0.62,0.33,0.63,1," R"," ."," S08LFS1.3H15"
26,0.54,1,499,843,0.13,0.84,-2.61,0.61,-2.73,0,0.68,1,80.5,80.4,0.62,0.34,0.54,1," R"," ."," S08LFS1.4H14"
27,0.7,2,499,789,0.13,1.31,4.53,1.55,3.13,0.65,0.57,1,73.7,79.5,0.62,0.43,0.7,1," R"," ."," S08ESS2.4M7"
28,1.71,1,499,763,0.12,1.05,1.01,1.02,0.18,0,0.58,1,75.2,76,0.6,0.41,1.71,1," R"," ."," S08PHS2.2H15"
29,0.78,2,499,849,0.12,0.87,-2.16,0.89,-0.75,-0.34,0.64,1,83,79.1,0.62,0.35,0.78,1," R"," ."," S08PHS3.4H20"
30,1.42,1,499,784,0.12,1.27,4.5,1.21,1.49,0,0.53,1,67.9,76.5,0.61,0.45,1.42,1," R"," ."," S08PHS4.2HSAMPLE"
31,-0.32,1,499,889,0.15,0.75,-3.11,0.57,-2.01,0,0.7,1,90,86.4,0.63,0.27,-0.32,1," R"," ."," S08ESS2.2H20"
32,0.52,1,499,844,0.13,1.12,1.72,1.45,2.49,0,0.58,1,78.5,80.5,0.62,0.39,0.53,1," R"," ."," S08ESS2.2H15"
33,1.8,2,499,749,0.12,1.1,1.74,1.07,0.54,0.1,0.57,1,72.1,75.9,0.6,0.42,1.8,1," R"," ."," S08PHS1.2H09"
34,1.28,1,499,794,0.12,1.47,7.33,1.87,5.21,0,0.46,1,66.6,76.8,0.61,0.48,1.28,1," R"," ."," S08LFS3.2H9"
35,2.13,1,499,732,0.12,1.34,5.7,1.37,2.14,0,0.49,1,64.2,75.9,0.59,0.47,2.13,1," R"," ."," S08PHS4.2H14"
36,1.09,1,499,807,0.12,1.03,0.48,1.04,0.3,0,0.61,1,75.2,77.5,0.61,0.4,1.09,1," R"," ."," S08LFS2.1H9"
37,0.93,2,499,825,0.12,0.88,-2.13,0.73,-2.02,-0.1,0.65,1,80.5,78.3,0.62,0.36,0.93,1," R"," ."," S08LFS1.3H10"
38,0.73,1,499,831,0.13,1.03,0.44,1.22,1.38,0,0.61,1,79.4,79.3,0.62,0.38,0.73,1," R"," ."," S08PHS1.2H15"
39,1.06,2,499,782,0.12,1.21,3.41,1.1,0.72,0.39,0.58,1,69.2,77.6,0.61,0.43,1.06,1," R"," ."," S08LFS1.6H15"
40,1.08,2,499,803,0.12,0.92,-1.34,0.77,-1.78,0.07,0.64,1,77.9,77.5,0.61,0.37,1.08,1," R"," ."," S08PHS1.3H15"
41,1.17,2,499,805,0.12,0.76,-4.58,0.57,-3.76,-0.05,0.69,1,83.2,77.2,0.61,0.34,1.17,1," R"," ."," S08PHS1.2H05"
42,1.23,2,499,798,0.12,0.87,-2.46,0.7,-2.39,0,0.65,1,80.8,77,0.61,0.37,1.23,1," R"," ."," S08ESS2.4H15"
43,1.23,2,499,809,0.12,1.04,0.78,1.03,0.3,-0.16,0.59,1,76.5,77,0.61,0.4,1.23,1," R"," ."," S08PHS4.2M19"
44,1.25,2,499,780,0.12,1.09,1.53,1.04,0.34,0.23,0.6,1,72.3,76.9,0.61,0.41,1.25,1," R"," ."," S08ESS3.3H20"
45,1.33,2,499,825,0.12,0.94,-1.04,0.82,-1.42,-0.5,0.63,1,77.9,76.7,0.61,0.38,1.33,1," R"," ."," S08LFS2.2H4"
46,1.72,2,499,752,0.12,0.85,-2.89,0.71,-2.22,0.14,0.65,1,80.8,76,0.6,0.37,1.72,1," R"," ."," S08LFS2.1H5"
47,2.05,2,499,722,0.12,1.12,2.1,1.07,0.52,0.21,0.55,1,73,75.8,0.59,0.43,2.05,1," R"," ."," S08ETS1.1M17"
48,2.48,2,499,727,0.12,1.25,4.19,1.31,1.8,-0.27,0.52,1,69.5,76.4,0.58,0.45,2.48,1," R"," ."," S08ESS1.2H5"
