"Entry","Difficulty","Status","Count","RawScore","SE","Infit","Infit_Z","Outfit","Outfit_Z","Displacement","PointMeasureCorr","Weight","ObservMatch","ExpectMatch","PostHocDiscrim","Group","Model","ItemID"
1,-0.97,2,152,128,0.33,1.02,0.15,0.57,-0.61,0.22,0.68,1,87.4,88.7,1.05,1,"R ","S08LFS1.6L2"
2,-0.06,2,152,124,0.28,1.45,2.64,1.49,1.21,-0.33,0.55,1,73,84,0.53,1,"R ","S08LFS1.6M13"
3,1.06,2,152,100,0.25,1.14,1.04,0.99,0.05,0.27,0.68,1,75.7,80.5,0.86,1,"R ","S08LFS1.6H15"
4,-0.63,2,152,128,0.31,1.1,0.6,1.64,1.2,-0.13,0.62,1,85.6,86.6,0.87,1,"R ","S08ESS2.4L6"
5,0.7,2,152,113,0.26,1.13,0.9,1.15,0.62,-0.22,0.65,1,77.5,81.6,0.85,1,"R ","S08ESS2.4M7"
6,1.73,2,152,96,0.24,1.71,4.81,2.12,3.28,-0.14,0.52,1,59.5,77.9,-0.07,1,"R ","S08ESS2.4H20"
7,-0.81,2,152,126,0.32,0.91,-0.46,0.52,-0.83,0.25,0.71,1,86.5,87.7,1.13,1,"R ","S08LFS1.4L1"
8,-1.59,2,152,133,0.38,1.03,0.21,0.44,-0.56,0.27,0.67,1,91,92.1,1.04,1,"R ","S08LFS1.4M2"
9,-0.54,2,152,127,0.31,0.82,-1.06,0.48,-1.13,-0.12,0.69,1,86.5,86.1,1.21,1,"R ","S08LFS1.4H10"
10,0.48,2,152,114,0.27,0.82,-1.24,0.62,-1.32,-0.07,0.72,1,83.8,82.1,1.22,1,"R ","S08PHS1.2Lsample"
11,0.2,2,152,120,0.27,1.06,0.47,0.84,-0.37,-0.25,0.66,1,77.5,82.9,0.97,1,"R ","S08PHS1.2M18"
12,-0.5,2,152,126,0.3,0.69,-2.01,0.32,-1.76,-0.07,0.73,1,87.4,85.8,1.34,1,"R ","S08LFS1.3L1"
13,-0.5,2,152,126,0.3,0.68,-2.08,0.34,-1.68,-0.07,0.73,1,91,85.8,1.34,1,"R ","S08LFS1.3M8"
14,0.93,2,152,107,0.26,0.99,-0.03,0.96,-0.06,-0.04,0.69,1,80.2,81,1.02,1,"R ","S08LFS1.3H10"
15,-1.49,2,152,135,0.37,0.81,-0.78,0.7,-0.15,-0.11,0.65,1,94.6,91.6,1.13,1,"R ","S08LFS1.7L1"
16,0.09,2,152,119,0.28,1.17,1.12,1.17,0.55,-0.05,0.64,1,79.3,83.4,0.85,1,"R ","S08LFS1.7M8"
17,-0.07,2,152,121,0.28,1.16,1.05,0.78,-0.49,-0.06,0.65,1,77.5,84,0.91,1,"R ","S08LFS2.1L1"
18,1.72,2,152,94,0.24,1.19,1.5,1.39,1.38,-0.03,0.64,1,73.9,77.9,0.67,1,"R ","S08LFS2.1H5"
19,-0.56,2,152,126,0.31,0.7,-1.92,0.32,-1.7,0,0.73,1,87.4,86.2,1.33,1,"R ","S08LFS3.2L11"
20,-0.11,2,152,121,0.29,0.96,-0.2,0.72,-0.65,-0.02,0.68,1,84.7,84.2,1.07,1,"R ","S08LFS3.2H10"
21,-0.44,2,152,124,0.3,0.88,-0.71,0.73,-0.47,0.06,0.7,1,87.4,85.5,1.14,1,"R ","S08LFS4.4L2"
22,-0.16,2,152,121,0.29,0.8,-1.36,0.61,-0.98,0.04,0.72,1,86.5,84.4,1.22,1,"R ","S08LFS4.4M13"
23,-0.53,2,152,125,0.31,0.93,-0.36,0.78,-0.32,0.07,0.68,1,88.3,86,1.07,1,"R ","S08LFS4.4H19"
24,0.25,2,152,116,0.27,0.97,-0.17,1.36,1.07,0.02,0.68,1,86.5,82.7,0.98,1,"R ","S08ESS1.3H19"
25,1.23,2,152,101,0.25,1.01,0.09,1.08,0.4,0.04,0.69,1,80.2,79.8,0.97,1,"R ","S08ESS2.4H15"
26,1.77,2,152,93,0.24,1.1,0.8,1.43,1.5,-0.02,0.66,1,76.6,77.7,0.77,1,"R ","S08ESS3.4L1"
