ssid,disab,index
2753650,10,1
2757869,10,1
2787296,10,1
2855259,10,1
2884992,10,1
2889218,10,1
2931087,10,1
2939436,10,1
2946734,10,1
3050211,10,1
3105385,10,1
5632080,10,1
5633249,10,1
6705987,10,1
6706045,10,1
6709001,10,1
6709044,10,1
6722229,10,1
6722474,10,1
6910874,10,1
6962823,10,1
7166818,10,1
7271026,10,1
7337760,10,1
7605684,10,1
7605730,10,1
7607040,10,1
7607288,10,1
7607725,10,1
7608292,10,1
7608438,10,1
7609469,10,1
7610882,10,1
7611005,10,1
7612087,10,1
7612931,10,1
7614969,10,1
7615094,10,1
7615558,10,1
7616686,10,1
7616988,10,1
7617062,10,1
7617836,10,1
7618670,10,1
7620217,10,1
7621302,10,1
7621493,10,1
7622627,10,1
7625936,10,1
7626452,10,1
7626924,10,1
7627955,10,1
7629133,10,1
7631545,10,1
7631723,10,1
7631952,10,1
7632010,10,1
7632533,10,1
7632657,10,1
7632916,10,1
7632932,10,1
7633084,10,1
7633211,10,1
7633432,10,1
7634552,10,1
7636652,10,1
7636733,10,1
7636881,10,1
7636954,10,1
7638116,10,1
7639597,10,1
7639775,10,1
7640218,10,1
7640692,10,1
7641699,10,1
7642725,10,1
7643829,10,1
7644094,10,1
7644248,10,1
7645422,10,1
7645708,10,1
7645724,10,1
7648774,10,1
7649126,10,1
7651082,10,1
7651643,10,1
7655193,10,1
7656173,10,1
7656262,10,1
7657870,10,1
7658303,10,1
7660472,10,1
7661061,10,1
7661118,10,1
7662084,10,1
7664532,10,1
7664656,10,1
7665369,10,1
7665377,10,1
7665903,10,1
7667027,10,1
7667108,10,1
7667221,10,1
7668783,10,1
7669151,10,1
7669984,10,1
7670117,10,1
7670249,10,1
7670567,10,1
7671555,10,1
7671687,10,1
7672799,10,1
7673132,10,1
7673426,10,1
7673922,10,1
7674147,10,1
7674325,10,1
7674473,10,1
7674481,10,1
7675194,10,1
7675259,10,1
7676050,10,1
7676247,10,1
7676867,10,1
7678037,10,1
7678088,10,1
7678568,10,1
7678770,10,1
7678835,10,1
7679025,10,1
7679300,10,1
7680791,10,1
7681186,10,1
7681313,10,1
7681364,10,1
7682492,10,1
7683839,10,1
7684207,10,1
7684886,10,1
7684983,10,1
7685394,10,1
7685955,10,1
7687036,10,1
7688148,10,1
7688156,10,1
7697147,10,1
8463549,10,1
8480516,10,1
8630631,10,1
8832226,10,1
8887381,10,1
8890862,10,1
8896356,10,1
8932956,10,1
8947260,10,1
8959145,10,1
8985081,10,1
9002839,10,1
9011269,10,1
9061908,10,1
9066497,10,1
9077863,10,1
9101098,10,1
9133895,10,1
9133925,10,1
9134131,10,1
9136282,10,1
9140662,10,1
9148388,10,1
9150552,10,1
9154051,10,1
9179704,10,1
9191747,10,1
9214380,10,1
9214542,10,1
9214933,10,1
9214984,10,1
9216901,10,1
9216960,10,1
9216987,10,1
9217339,10,1
9221069,10,1
9224041,10,1
9224041,10,2
9226559,10,1
9248366,10,1
9261400,10,1
9268812,10,1
9289925,10,1
9294678,10,1
9301879,10,1
9325735,10,1
9338659,10,1
9361014,10,1
9365931,10,1
9371931,10,1
9375910,10,1
9381198,10,1
9383271,10,1
9399917,10,1
9409939,10,1
9410767,10,1
9417400,10,1
9423737,10,1
9431837,10,1
9433783,10,1
9438122,10,1
9442421,10,1
9444009,10,1
9455205,10,1
9456155,10,1
9456163,10,1
9468684,10,1
9468838,10,1
9468870,10,1
9468889,10,1
9469370,10,1
9475982,10,1
9477926,10,1
9481702,10,1
9486844,10,1
9495819,10,1
9497951,10,1
9510028,10,1
9522115,10,1
9522131,10,1
9524851,10,1
9533818,10,1
9543635,10,1
9548092,10,1
9560971,10,1
9580549,10,1
9581243,10,1
9584978,10,1
9585583,10,1
9589015,10,1
9594930,10,1
9600841,10,1
9630988,10,1
9636994,10,1
9644334,10,1
9647171,10,1
9647473,10,1
9647805,10,1
9658610,10,1
9661077,10,1
9670149,10,1
9674462,10,1
9686142,10,1
9686827,10,1
9686878,10,1
9688358,10,1
9693122,10,1
9707778,10,1
9717234,10,1
9719687,10,1
9726675,10,1
9727604,10,1
9729011,10,1
9729259,10,1
9730303,10,1
9736956,10,1
9740341,10,1
9757368,10,1
9758267,10,1
9759379,10,1
9762663,10,1
9764607,10,1
9771883,10,1
9771891,10,1
9778586,10,1
9788913,10,1
9795952,10,1
9796258,10,1
9804218,10,1
9809775,10,1
9811915,10,1
9820140,10,1
9823255,10,1
9823875,10,1
9830138,10,1
9836667,10,1
9838481,10,1
9842071,10,1
9843248,10,1
9857567,10,1
9865039,10,1
9882855,10,1
9884491,10,1
9886087,10,1
9887679,10,1
9888829,10,1
9889760,10,1
9900063,10,1
9901442,10,1
9906428,10,1
9912312,10,1
9915109,10,1
9915583,10,1
9918825,10,1
9931775,10,1
9941193,10,1
9942114,10,1
9942459,10,1
9948740,10,1
9949356,10,1
9949364,10,1
9949631,10,1
9954120,10,1
9954368,10,1
9957200,10,1
9960376,10,1
9969373,10,1
9978062,10,1
9982701,10,1
9988742,10,1
9989056,10,1
9993495,10,1
9998713,10,1
10006109,10,1
10015019,10,1
10029354,10,1
10031928,10,1
10040897,10,1
10041117,10,1
10052860,10,1
10055223,10,1
10061916,10,1
10066276,10,1
10079327,10,1
10086005,10,1
10086129,10,1
10095586,10,1
10098488,10,1
10098879,10,1
10098917,10,1
10099824,10,1
10122249,10,1
10125655,10,1
10125868,10,1
10125892,10,1
10127224,10,1
10127542,10,1
10128166,10,1
10128735,10,1
10129901,10,1
10129928,10,1
10134166,10,1
10134190,10,1
10134441,10,1
10139206,10,1
10139311,10,1
10139702,10,1
10139710,10,1
10140220,10,1
10140417,10,1
10141324,10,1
10141596,10,1
10141995,10,1
10142193,10,1
10142460,10,1
10142797,10,1
10143033,10,1
10143602,10,1
10144005,10,1
10144188,10,1
10144250,10,1
10144285,10,1
10144293,10,1
10144439,10,1
10144463,10,1
10146040,10,1
10146199,10,1
10147624,10,1
10149732,10,1
10150439,10,1
10151508,10,1
10151834,10,1
10151893,10,1
10152113,10,1
10152210,10,1
10152474,10,1
10153039,10,1
10154027,10,1
10154434,10,1
10155708,10,1
10156631,10,1
10156860,10,1
10156917,10,1
10158928,10,1
10159932,10,1
10160183,10,1
10160787,10,1
10162313,10,1
10162585,10,1
10162720,10,1
10163212,10,1
10163344,10,1
10164855,10,1
10165126,10,1
10165479,10,1
10165878,10,1
10166742,10,1
10166955,10,1
10167447,10,1
10167560,10,1
10167749,10,1
10168370,10,1
10168435,10,1
10168443,10,1
10168494,10,1
10168524,10,1
10168877,10,1
10169911,10,1
10170561,10,1
10170790,10,1
10174435,10,1
10174451,10,1
10174478,10,1
10174559,10,1
10187421,10,1
10187731,10,1
10187820,10,1
10187901,10,1
10187936,10,1
10188207,10,1
10188703,10,1
10189009,10,1
10189017,10,1
10189351,10,1
10189467,10,1
10189726,10,1
10189734,10,1
10189823,10,1
10190317,10,1
10190376,10,1
10192085,10,1
10199381,10,1
10200622,10,1
10201521,10,1
10202080,10,1
10203427,10,1
10203923,10,1
10203958,10,1
10204105,10,1
10204504,10,1
10204830,10,1
10206663,10,1
10207856,10,1
10207953,10,1
10208720,10,1
10208828,10,1
10210164,10,1
10210474,10,1
10212000,10,1
10212876,10,1
10212906,10,1
10213414,10,1
10213546,10,1
